floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,120.0,120.0,0,0
0,1,0x001F,30,0,0,0,-112.0,0.0,-145.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0
0,4,0x00F1,30,0,0,0,-271.0,0.0,-65.0,0.0,0.0,0.0,0.0,0.0,0,0
0,5,0x00D3,30,0,0,0,-255.0,0.0,-128.0,0.0,0.0,0.0,0.0,0.0,0,0
0,6,0x00D0,30,0,0,0,-196.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0,0
0,7,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.9056396484375,30.0,0.0,0.0,127.0,127.0,1,0
0,8,0x00FA,30,0,0,0,-110.65237426757812,0.0,84.39647674560547,0.0,0.0,0.0,129.0,129.0,0,0
0,9,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,128.0,128.0,1,0
0,10,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,125.0,125.0,0,0
0,11,0x00F8,42,1,1,0,58.0,31.0,-174.0,0.0,0.0,0.0,1055.0,600.0,0,0
0,12,0x00D1,42,0,0,0,0.0,31.000015258789062,-215.0,0.0,0.0,0.0,1050.0,501.0,0,0
0,13,0x00D2,42,0,0,0,-49.0,31.0,-191.0,0.0,0.0,0.0,1051.0,520.0,0,0
0,14,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,260.0,260.0,0,0
0,15,0x00D0,42,0,0,0,-80.0,-10.0,-30.0,0.0,0.0,0.0,261.0,261.0,0,0
0,16,0x00D3,42,0,0,0,70.0,-5.0,155.0,0.0,0.0,0.0,1054.0,580.0,0,0
0,17,0x00FC,50,0,0,0,0.0,0.0,-15.0,0.0,0.0,0.0,126.0,126.0,0,0
0,18,0x000B,80,0,0,0,-26.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0,0
0,19,0x00FD,40,0,0,0,-18.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,0,0
0,20,0x00FD,40,0,0,0,-43.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,1,0
0,21,0x00FD,40,0,0,0,-33.0,0.0,-22.0,10.0,0.0,0.0,0.0,0.0,1,0
0,22,0x0031,10,0,0,0,-10.0,-30.0,-410.0,0.0,0.0,0.0,160.0,160.0,0,0
0,23,0x00F5,70,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0,0
0,24,0x0031,70,0,0,0,-10.0,0.0,-10.0,0.0,0.0,0.0,161.0,161.0,0,0
0,25,0x00F7,10,0,0,0,-43.970001220703125,0.0,-406.78997802734375,0.0,0.0,196.0,180.0,180.0,0,0
5,0,0x00D5,2,3,3,0,-0.5418596267700195,49.99999237060547,133.41732788085938,-1.0,0.0,1.0,0.0,0.0,1,0
5,1,0x00D5,2,3,3,0,29.972393035888672,49.99999237060547,155.77700805664062,-1.0,0.0,1.0,0.0,0.0,1,0
5,2,0x00D7,2,3,3,0,42.55366516113281,33.57679748535156,54.30718994140625,0.0,1.0,0.0,0.0,0.0,0,0
5,3,0x00D7,2,3,3,0,32.215049743652344,20.470060348510742,1.8802490234375,0.0,1.0,0.0,0.0,0.0,1,0
5,4,0x00D7,2,3,3,0,38.01566696166992,3.57688045501709,-65.69247436523438,0.0,1.0,0.0,0.0,0.0,0,0
5,5,0x00D5,2,2,2,0,30.0,7.499998092651367,-50.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,6,0x00D5,2,2,2,0,30.0,32.5,50.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,7,0x00D5,2,2,2,0,-50.0,32.500003814697266,50.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,8,0x00D5,2,2,2,0,-50.0,7.499997615814209,-50.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,9,0x00D7,2,1,1,0,-14.000062942504883,-2.0954757928848267e-07,-86.11122131347656,0.0,1.0,0.0,0.0,0.0,0,0
5,10,0x00D7,2,1,1,0,-53.396156311035156,2.0954757928848267e-08,-86.302001953125,0.0,1.0,0.0,0.0,0.0,0,0
5,11,0x00D5,3,2,2,0,58.821319580078125,50.0,-91.87042236328125,1.0,0.0,-1.0,0.0,0.0,0,0
5,12,0x00D5,3,2,2,0,82.85637664794922,50.000003814697266,-89.0628662109375,1.0,0.0,-1.0,0.0,0.0,0,0
5,13,0x00D5,3,2,2,0,-145.29867553710938,50.000003814697266,-39.0838623046875,-1.0,0.0,1.0,0.0,0.0,1,0
5,14,0x00D9,3,2,2,0,-50.816688537597656,76.32501983642578,21.91778564453125,0.0,1.0,0.0,0.0,0.0,0,0
5,15,0x00D9,3,2,2,0,44.2503662109375,101.00603485107422,-1.541015625,0.0,1.0,0.0,0.0,0.0,0,0
5,16,0x00D7,3,1,1,0,20.0,50.000003814697266,40.0,0.0,1.0,0.0,0.0,0.0,0,0
5,17,0x00D7,3,1,1,0,60.0,50.000003814697266,40.0,0.0,1.0,0.0,0.0,0.0,0,0
5,18,0x00D7,3,1,1,0,-20.0,50.000003814697266,40.0,0.0,1.0,0.0,0.0,0.0,0,0
5,19,0x00D7,3,1,1,0,-60.0,50.000003814697266,40.0,0.0,1.0,0.0,0.0,0.0,0,0
5,20,0x00D4,4,3,3,0,170.74725341796875,90.0,-39.25,1.0,0.0,-0.19999998807907104,-0.09999999403953552,0.19999998807907104,0,0
5,21,0x00D7,4,2,2,0,-57.369659423828125,50.0,-45.6322021484375,0.0,1.0,0.0,0.0,0.0,0,0
5,22,0x00D7,4,2,2,0,71.47695922851562,50.0,-46.5301513671875,0.0,1.0,0.0,0.0,0.0,0,0
5,23,0x00D7,4,2,2,0,19.800140380859375,50.0,61.97308349609375,0.0,1.0,0.0,0.0,0.0,1,0
5,24,0x00D9,4,2,2,0,22.5394287109375,101.63753509521484,-19.2779541015625,0.0,1.0,0.0,0.0,0.0,0,0
5,25,0x00D9,4,2,2,0,-7.5709228515625,137.307373046875,17.06884765625,1.0,1.0,0.0,0.0,0.0,0,0
5,26,0x00D5,4,1,1,0,0.0,50.0,0.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,27,0x00D5,4,1,1,0,0.0,50.0,-30.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,28,0x00D5,4,1,1,0,0.0,50.0,-60.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,29,0x00D5,4,1,1,0,0.0,50.0,30.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,30,0x00D5,4,1,1,0,0.0,50.0,60.0,1.0,0.0,-1.0,0.0,0.0,0,0
5,31,0x00D4,5,3,3,0,-103.916259765625,150.0,54.30999755859375,3.0,0.0,0.0,0.0,0.0,0,0
5,32,0x00D4,5,3,3,0,-102.53961181640625,150.0,-46.78985595703125,3.0,0.0,0.0,0.0,0.0,0,0
5,33,0x00D5,5,2,2,0,99.3870849609375,49.99999237060547,-41.1339111328125,-1.0,0.0,1.0,0.0,0.0,1,0
5,34,0x00D5,5,2,2,0,79.230712890625,49.99999237060547,1.28265380859375,-1.0,0.0,1.0,0.0,0.0,1,0
5,35,0x00D5,5,2,2,0,102.522705078125,49.99999237060547,41.10150146484375,-1.0,0.0,1.0,0.0,0.0,1,0
5,36,0x00D7,5,2,2,0,-99.2205810546875,50.0,-54.4600830078125,0.0,1.0,0.0,0.0,0.0,1,0
5,37,0x00D7,5,2,2,0,-4.682373046875,50.0,73.88092041015625,0.0,1.0,0.0,0.0,0.0,1,0
5,38,0x00D9,5,1,1,0,-64.16363525390625,83.60002136230469,-32.68487548828125,1.0,0.0,0.0,0.0,0.0,0,0
5,39,0x00D9,5,1,1,0,40.4361572265625,69.213134765625,39.00054931640625,1.0,0.0,0.0,0.0,0.0,0,0
5,40,0x00D9,5,1,1,0,79.80426025390625,102.61701202392578,-34.32159423828125,0.0,0.0,0.0,0.0,0.0,0,0
5,41,0x00D9,5,1,1,0,-85.70623779296875,118.40452575683594,46.43719482421875,0.0,0.0,0.0,0.0,0.0,0,0
5,42,0x00D9,8,3,3,0,-112.5000228881836,115.45635986328125,-6.14935302734375,0.0,1.0,0.0,0.0,0.0,1,0
5,43,0x00D9,8,3,3,0,-38.248931884765625,38.00415802001953,37.21014404296875,0.0,1.0,0.0,0.0,0.0,1,0
5,44,0x00D9,8,3,3,0,83.81407165527344,116.22265625,-13.05328369140625,0.0,1.0,0.0,0.0,0.0,1,0
5,45,0x00D9,8,3,3,0,21.060779571533203,31.76238250732422,21.8883056640625,1.0,1.0,0.0,0.0,0.0,1,0
5,46,0x00D9,8,3,3,0,-153.80477905273438,42.102455139160156,28.3087158203125,1.0,1.0,0.0,0.0,0.0,1,0
