floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001F,30,0,0,0,-108.5,0.0,-143.0,0.0,0.0,0.0,1069.0,960.0,0,0
0,1,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,1066.0,930.0,0,0
0,2,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,1067.0,940.0,0,0
0,3,0x00F1,30,0,0,0,-268.5,0.0,-63.5,0.0,0.0,0.0,1063.0,900.0,0,0
0,4,0x00D3,30,0,0,0,-254.0,0.0,-127.0,0.0,0.0,0.0,1065.0,920.0,0,0
0,5,0x00D0,30,0,0,0,-196.0,0.0,-141.5,0.0,0.0,0.0,1064.0,910.0,0,0
0,6,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,101.0,101.0,0,0
0,7,0x00FC,50,0,0,0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0,0
0,8,0x00FD,40,0,0,0,-15.152206420898438,0.0,12.408348083496094,0.0,0.0,0.0,102.0,102.0,0,0
0,9,0x00FD,40,0,0,0,-26.677703857421875,0.0,-23.001998901367188,10.0,0.0,0.0,0.0,0.0,1,0
0,10,0x00FE,50,0,0,0,96.75231170654297,0.0,49.136329650878906,0.0,0.0,0.0,100.0,100.0,0,0
0,11,0x00FD,80,0,0,0,-34.14208984375,0.0,23.927526473999023,0.0,0.0,0.0,200.0,200.0,0,0
0,12,0x00FD,80,0,0,0,-33.697265625,0.0,-18.481124877929688,0.0,0.0,0.0,210.0,210.0,0,0
0,13,0x00FD,80,0,0,0,-26.378662109375,0.0,0.463011234998703,0.0,0.0,0.0,220.0,220.0,0,0
0,14,0x00FD,80,0,0,0,-33.498046875,0.0,-30.827808380126953,0.0,0.0,0.0,230.0,230.0,0,0
0,15,0x00FE,30,0,0,0,-79.81986236572266,0.0,-73.87271118164062,10.0,0.0,0.0,240.0,240.0,1,0
