label,line,opcode,args
label0064,46,switch_jmp,"r50, [label000A, label0014]"
label0014,54,set,r255
label00C8,92,switch_jmp,"r51, [label000B, label0015]"
label000B,102,get_stackable_item_count,"r80-r83, r12"
label000B,108,get_stackable_item_count,"r70-r73, r11"
label07D0,150,bb_exchange_pd_item,"... r90, r91, r92, label07D1, label07D2"
label00D3,203,switch_jmp,"r52, [label0016, label0017, label0018, label0019, label001A, label001B, label001C, label001D, label00D4, label002E]"
label00D4,210,switch_jmp,"r53, [label00D3, label001E, label001F, label0020, label0021, label0022, label0023, label0024, label0025, label00D5, label002E]"
label00D5,217,switch_jmp,"r54, [label00D4, label0026, label0027, label0028, label0029, label002A, label002B, label002C, label002D, label002E]"
label0016,234,get_stackable_item_count,"r70-r73, r11"
label0016,239,find_inventory_item,"r100-r102, r104"
label0016,249,bb_swap_item,"... 0x0 /* 0 */, 0x6 /* 6 */, 0x5 /* 5 */, 0x3 /* 3 */, 0x10 /* 16 */, 0x0 /* 0 */, label07D1, label07D2"
label0017,263,get_stackable_item_count,"r70-r73, r11"
label0017,268,find_inventory_item,"r100-r102, r104"
label0017,278,bb_swap_item,"... 0x0 /* 0 */, 0x1 /* 1 */, 0x5 /* 5 */, 0x3 /* 3 */, 0x10 /* 16 */, 0x0 /* 0 */, label07D1, label07D2"
label0018,292,get_stackable_item_count,"r70-r73, r11"
label0018,297,find_inventory_item,"r100-r102, r104"
label0018,307,bb_swap_item,"... 0x0 /* 0 */, 0x6 /* 6 */, 0x6 /* 6 */, 0x3 /* 3 */, 0x10 /* 16 */, 0x0 /* 0 */, label07D1, label07D2"
label0019,321,get_stackable_item_count,"r70-r73, r11"
label0019,326,find_inventory_item,"r100-r102, r104"
label0019,336,bb_swap_item,"... 0x0 /* 0 */, 0x6 /* 6 */, 0x7 /* 7 */, 0x3 /* 3 */, 0x10 /* 16 */, 0x0 /* 0 */, label07D1, label07D2"
label001A,350,get_stackable_item_count,"r70-r73, r11"
label001A,355,find_inventory_item,"r100-r102, r104"
