label,line,instructions
label0059,49,5
label0074,56,5
label00EF,63,1
label006F,66,5
label000E,73,1
label00B4,76,1
label005E,79,4
label0047,85,1
label008A,88,9
label010C,99,1
label0101,102,5
label00F0,109,1
label00AC,112,1
label004D,115,5
label009B,122,20
label008B,144,9
label0111,155,2
label0034,159,3
label0069,164,3
label0055,169,6
label0035,177,6
label003D,185,6
label0042,193,6
label0082,201,2
label00E6,206,4
label00C5,212,5
label00D3,219,5
label00EA,226,5
label0112,233,4
label00C9,239,6
label0026,247,2
label002A,251,8
label0063,261,1
label002F,264,9
label002B,275,1
label00F5,278,4
label013A,284,9
label0064,295,5
label0030,303,1
label012A,306,6
label00F6,314,12
label008F,328,13
label000B,343,3
label00A5,348,4
label001E,354,10
label00BA,366,4
label00CF,372,4
label00E7,378,4
label0102,384,3
start,389,26
label0001,417,1
label0105,420,1
label0031,423,0
label00DF,424,1
label005F,427,1
label00EB,430,3
label00D4,435,5
label0036,442,8
label003E,452,8
label0043,462,8
label0048,472,8
label0096,482,7
label0460,491,12
label00B5,506,7
label0015,515,5
label0456,522,6
label00AD,531,42
label00A6,575,7
label004E,584,16
label0083,602,15
label00B6,619,12
label000F,633,18
label00B0,653,5
label007B,660,5
label009C,667,5
label0097,674,0
label0124,675,5
label0049,682,5
label0044,689,5
label012B,696,21
label0103,719,118
label007C,839,63
label0084,904,5
label00EC,911,21
label011C,934,98
label005A,1034,63
label00D5,1100,21
label00BB,1123,79
label0037,1204,58
label001F,1264,21
label013F,1287,118
label00BC,1407,68
label00F1,1477,21
label0121,1500,98
label0060,1600,63
label0106,1665,21
label0090,1688,79
label0016,1769,58
label0143,1829,21
label0125,1852,115
label00A7,1969,68
label00F7,2039,21
label0126,2062,98
label0065,2162,63
label0002,2227,21
label00D0,2250,79
label005B,2331,58
label008C,2391,21
label006A,2415,115
label0133,2532,68
label0010,2602,7
label0061,2611,20
label0070,2633,11
label011D,2646,7
label0075,2655,22
label004A,2679,98
label010D,2779,75
label00A3,2856,21
label00D1,2879,79
label0011,2960,58
label00D6,3020,7
label007D,3029,7
label002C,3038,9
label0051,3049,11
label0457,3062,9
label012C,3074,0
label0458,3075,4
label002D,3082,95
label00E2,3179,15
label00B1,3196,17
label00F8,3215,13
label0003,3230,35
label001A,3267,16
label0122,3285,2
label0127,3289,2
label012D,3293,2
label0134,3297,2
label013B,3301,0
label0140,3302,2
label0144,3306,2
label0004,3310,2
