floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
5,101,10,1,0,1,trigger_event(102); stop,3,"{""0x0114"": 3}"
5,102,10,2,0,1,trigger_event(103); stop,3,"{""0x0114"": 3}"
5,103,10,3,0,1,trigger_event(104); stop,4,"{""0x0111"": 4}"
5,104,10,4,0,1,trigger_event(105); stop,4,"{""0x0115"": 4}"
5,105,10,5,0,1,set_switch(10); stop,5,"{""0x0116"": 1, ""0x0115"": 4}"
5,201,20,1,0,1,trigger_event(202); stop,3,"{""0x0115"": 3}"
5,202,20,2,0,1,trigger_event(203); stop,4,"{""0x0115"": 4}"
5,203,20,3,0,1,trigger_event(204); stop,5,"{""0x0115"": 3, ""0x0111"": 2}"
5,204,20,4,0,1,set_switch(20); stop,3,"{""0x0110"": 2, ""0x0111"": 1}"
5,301,30,1,0,1,trigger_event(302); stop,4,"{""0x0114"": 2, ""0x0111"": 2}"
5,302,30,2,0,1,trigger_event(303); stop,4,"{""0x0111"": 4}"
5,303,30,3,0,1,trigger_event(304); stop,4,"{""0x0115"": 4}"
5,304,30,4,0,1,trigger_event(305); stop,5,"{""0x0115"": 2, ""0x0041"": 3}"
5,305,30,5,0,1,trigger_event(306); stop,3,"{""0x0114"": 3}"
5,306,30,6,0,1,trigger_event(307); stop,3,"{""0x0115"": 3}"
5,307,30,7,0,1,set_switch(30); stop,2,"{""0x0116"": 2}"
5,401,40,1,0,1,trigger_event(402); stop,3,"{""0x0041"": 3}"
5,402,40,2,0,1,trigger_event(403); stop,3,"{""0x0111"": 3}"
5,403,40,3,0,1,trigger_event(404); stop,3,"{""0x0110"": 3}"
5,404,40,4,0,1,trigger_event(405); stop,4,"{""0x0115"": 4}"
5,405,40,5,0,1,set_switch(40); stop,3,"{""0x0041"": 3}"
5,501,50,1,0,1,trigger_event(502); stop,3,"{""0x0115"": 3}"
5,502,50,2,0,1,trigger_event(503); stop,4,"{""0x0115"": 4}"
5,503,50,3,0,1,trigger_event(504); stop,3,"{""0x0115"": 3}"
5,504,50,4,0,1,set_switch(50); stop,3,"{""0x0115"": 3}"
5,601,60,1,0,1,trigger_event(602); stop,3,"{""0x0115"": 3}"
5,602,60,2,0,1,trigger_event(603); stop,2,"{""0x0110"": 2}"
5,603,60,3,0,1,trigger_event(604); stop,3,"{""0x0116"": 3}"
5,604,60,4,0,1,trigger_event(605); stop,3,"{""0x0116"": 2, ""0x0114"": 1}"
5,605,60,5,0,1,trigger_event(606); stop,4,"{""0x0114"": 2, ""0x0111"": 2}"
5,606,60,6,0,1,trigger_event(607); stop,5,"{""0x0110"": 3, ""0x0115"": 2}"
5,607,60,7,0,1,set_switch(60); stop,6,"{""0x0115"": 1, ""0x0111"": 2, ""0x0114"": 1, ""0x0116"": 2}"
