floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
5,201,20,99,30,1,trigger_event(2001); trigger_event(2002); trigger_event(2003); stop,0,{}
5,2001,20,1,30,1,trigger_event(204); stop,2,"{""0x0115"": 2}"
5,2002,20,2,30,1,trigger_event(205); stop,1,"{""0x0115"": 1}"
5,2003,20,3,30,1,trigger_event(206); stop,2,"{""0x0111"": 2}"
5,204,20,4,30,1,trigger_event(207); stop,1,"{""0x0111"": 1}"
5,205,20,5,30,1,trigger_event(208); stop,2,"{""0x0041"": 2}"
5,206,20,6,30,1,trigger_event(209); stop,3,"{""0x0110"": 1, ""0x0115"": 2}"
5,207,20,7,30,1,trigger_event(210); stop,2,"{""0x0114"": 1, ""0x0041"": 1}"
5,208,20,8,30,1,trigger_event(211); stop,3,"{""0x0111"": 3}"
5,209,20,9,30,1,trigger_event(212); stop,3,"{""0x0111"": 1, ""0x0115"": 1, ""0x0114"": 1}"
5,210,20,10,30,1,set_switch(21); stop,1,"{""0x0041"": 1}"
5,211,20,11,30,1,set_switch(22); stop,3,"{""0x0041"": 1, ""0x0110"": 2}"
5,212,20,12,30,1,set_switch(23); stop,1,"{""0x0116"": 1}"
5,301,30,1,30,1,trigger_event(3011); stop,1,"{""0x0116"": 1}"
5,3011,30,2,30,1,trigger_event(3012); stop,5,"{""0x0110"": 2, ""0x0111"": 3}"
5,3012,30,3,30,1,"construct_objects(room=30,group_or_wave=1); stop",3,"{""0x0110"": 1, ""0x0115"": 2}"
5,302,30,4,30,1,"construct_objects(room=30,group_or_wave=2); stop",7,"{""0x0041"": 7}"
5,303,30,5,30,1,trigger_event(3031); stop,5,"{""0x0110"": 1, ""0x0111"": 2, ""0x0115"": 2}"
5,3031,30,6,30,1,"construct_objects(room=30,group_or_wave=3); stop",3,"{""0x0115"": 1, ""0x0114"": 1, ""0x0041"": 1}"
5,304,30,6,30,1,trigger_event(3041); stop,3,"{""0x0115"": 1, ""0x0114"": 1, ""0x0041"": 1}"
5,3041,30,7,30,1,trigger_event(3042); stop,4,"{""0x0110"": 1, ""0x0114"": 2, ""0x0111"": 1}"
5,3042,30,8,30,1,trigger_event(3043); stop,3,"{""0x0111"": 3}"
5,3043,30,9,30,1,set_switch(31); stop,1,"{""0x0116"": 1}"
5,401,40,99,30,1,trigger_event(4001); trigger_event(4002); trigger_event(4003); trigger_event(4004); stop,0,{}
5,4001,40,1,30,1,trigger_event(405); stop,1,"{""0x0110"": 1}"
5,4002,40,2,30,1,trigger_event(406); stop,1,"{""0x0110"": 1}"
5,4003,40,3,30,1,trigger_event(407); stop,1,"{""0x0115"": 1}"
5,4004,40,4,30,1,trigger_event(408); stop,1,"{""0x0114"": 1}"
5,405,40,5,30,1,trigger_event(409); stop,2,"{""0x0041"": 2}"
5,406,40,6,30,1,trigger_event(410); stop,3,"{""0x0111"": 3}"
5,407,40,7,30,1,trigger_event(411); stop,1,"{""0x0114"": 1}"
5,408,40,8,30,1,trigger_event(412); stop,2,"{""0x0110"": 2}"
5,409,40,9,30,1,trigger_event(413); stop,2,"{""0x0111"": 1, ""0x0115"": 1}"
5,410,40,10,30,1,trigger_event(414); stop,1,"{""0x0114"": 1}"
5,411,40,11,30,1,trigger_event(415); stop,3,"{""0x0041"": 1, ""0x0111"": 2}"
5,412,40,12,30,1,trigger_event(416); stop,2,"{""0x0115"": 1, ""0x0110"": 1}"
