floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,1,0x0040,10,0,-393.07318115234375,10.0,-12.964752197265625,9.183549615799121e-41,1.0000011920928955,1.0,0,0,0
0,2,0x0040,10,0,-458.60699462890625,10.0,-51.270660400390625,1.0,1.0,1.0,2,65536,10
0,3,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,4,0x0000,10,0,0.995330810546875,0.0,-37.0010986328125,0.0,1.0,1.0,0,0,0
0,5,0x0000,10,0,3.0009307861328125,0.0,-23.99688720703125,1.000000238418579,1.0,1.0,0,0,0
0,6,0x0000,10,0,2.0015106201171875,0.0,-50.00386047363281,2.000002384185791,1.0,1.0,0,0,0
0,7,0x0000,10,0,4.9973907470703125,0.0,-61.99664306640625,3.0000007152557373,1.0,1.0,65536,10,0
0,8,0x0043,10,0,132.00314331054688,1.000000238418579,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,9,0x0045,10,0,-228.0,0.0,-2020.99951171875,-10.000004768371582,0.0,-30.000030517578125,0,65536,65536
0,10,0x0040,10,0,-41.000030517578125,0.0,42.37322998046875,1.0,1.0,1.0,4,0,0
0,11,0x0040,10,0,-479.21673583984375,8.781256675720215,-322.465576171875,1.0,1.0,1.0,5,0,0
0,12,0x0045,10,0,-228.0,0.0,-351.0015869140625,10.000006675720215,0.0,-1760.0010986328125,32768,0,0
0,13,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,14,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,15,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,16,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,17,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,18,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,1.0,1,0,0
0,19,0x0040,10,0,-355.17462158203125,0.0,-43.15193176269531,1.000000238418579,1.0,1.0,6,0,0
0,20,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,21,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,22,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,23,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,24,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,25,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
1,0,0x0082,10,0,218.92584228515625,0.030477533116936684,226.89752197265625,1.0,1.0,1.0,10,0,0
1,1,0x0082,10,0,222.19647216796875,0.030477533116936684,185.60720825195312,1.0,1.0,1.0,10,0,0
1,2,0x0082,10,0,-264.6867980957031,0.030477533116936684,-118.5199966430664,1.0,1.0,1.0,11,0,0
1,3,0x0082,10,0,-376.2200012207031,0.029999999329447746,-164.16000366210938,1.0,1.0,1.0,11,0,0
1,4,0x0082,10,0,-193.98013305664062,-1.96999990940094,-216.44000244140625,1.0,1.0,1.0,11,0,0
1,5,0x0082,10,0,-295.2200012207031,0.029999999329447746,-301.30999755859375,1.0,1.0,1.0,11,0,0
1,6,0x0082,10,0,-220.70822143554688,-0.9699999690055847,301.1499938964844,1.0,1.0,1.0,12,0,0
1,7,0x0082,10,0,-289.550537109375,-0.9699999690055847,394.5042724609375,1.0,1.0,1.0,12,0,0
1,8,0x0088,10,0,251.09133911132812,0.0110054612159729,198.03533935546875,1.0,1.0,1.0,0,0,0
1,9,0x0088,10,0,-351.2041931152344,0.0110054612159729,-265.6596374511719,1.0,1.0,1.0,0,0,0
1,10,0x0003,10,0,-354.9864501953125,-0.015725767239928246,398.4987487792969,761.8499755859375,1.0,-4497.10986328125,40960,0,0
1,11,0x0088,10,0,-350.61383056640625,0.0110054612159729,-284.08953857421875,1.0,1.0,1.0,0,0,0
1,12,0x0088,10,0,-333.7200012207031,0.0110054612159729,-265.1565856933594,1.0,1.0,1.0,0,0,0
1,13,0x0088,10,0,-332.1833801269531,0.0110054612159729,-283.8826599121094,1.0,1.0,1.0,0,0,0
1,14,0x0088,10,0,251.0287322998047,0.0110054612159729,214.9925994873047,1.0,1.0,1.0,0,0,0
1,15,0x0088,10,0,266.9228515625,0.0110054612159729,206.54208374023438,1.0,1.0,1.0,0,0,0
1,16,0x0088,10,0,-352.5199890136719,0.0110054612159729,-248.7244110107422,1.0,1.0,1.0,0,0,0
1,17,0x0088,10,0,-333.1300048828125,0.0110054612159729,-248.05291748046875,1.0,1.0,1.0,0,0,0
1,18,0x0008,11,0,-271.09136962890625,0.0,-281.742919921875,21.0,1.0,1.0,111,0,0
1,19,0x0008,11,0,-338.2232666015625,0.0,-150.7001953125,21.0,1.0,1.0,111,0,0
1,20,0x0008,11,0,427.15069580078125,0.0,-306.081298828125,21.0,1.0,1.0,401,0,0
1,21,0x0008,11,0,1854.5833740234375,0.0,405.430908203125,21.0,1.0,1.0,211,0,0
1,22,0x0008,11,0,3307.205810546875,0.0,196.40673828125,21.0,1.0,1.0,801,0,0
1,23,0x0082,11,0,335.4899597167969,-1.5,-312.4248046875,1.0,1.0,1.0,112,0,0
1,24,0x0082,11,0,541.6533813476562,0.0,-305.1650390625,1.0,1.0,1.0,112,0,0
1,25,0x0008,11,0,-271.09136962890625,0.0,-281.742919921875,21.0,1.0,1.0,111,0,0
1,26,0x0008,11,0,-338.2232666015625,0.0,-150.7001953125,21.0,1.0,1.0,111,0,0
1,27,0x0008,11,0,427.15069580078125,0.0,-306.081298828125,21.0,1.0,1.0,401,0,0
1,28,0x0008,11,0,1854.5833740234375,0.0,405.430908203125,21.0,1.0,1.0,211,0,0
1,29,0x0008,11,0,3307.205810546875,0.0,196.40673828125,21.0,1.0,1.0,801,0,0
1,30,0x0003,11,0,-352.389892578125,0.0,-234.76611328125,2267.0,25.03999900817871,-6530.3896484375,0,0,0
1,31,0x0082,11,0,-221.852783203125,0.0,306.935791015625,1.0,1.0,1.0,110,0,0
1,32,0x0082,11,0,-285.687255859375,-0.0667174905538559,390.2939453125,1.0,1.0,1.0,110,0,0
1,33,0x0082,11,0,123.625,12.510034561157227,169.201904296875,1.0,1.0,1.0,111,0,1
1,34,0x0082,11,0,91.8419189453125,12.946074485778809,210.364501953125,1.0,1.0,1.0,111,0,0
1,35,0x0082,11,0,229.7630615234375,20.0,-14.125,1.0,1.0,1.0,112,0,0
1,36,0x0091,11,0,-348.5848388671875,0.1416919231414795,402.16259765625,1.0,1.0,1.0,0,0,0
1,37,0x0091,11,0,202.29769897460938,3.961564064025879,214.78857421875,1.0,1.0,1.0,0,0,0
1,38,0x0091,11,0,-362.828857421875,-0.3238637447357178,387.44140625,1.0,1.0,1.0,0,0,0
1,39,0x0091,11,0,-368.37548828125,0.17834407091140747,408.20068359375,1.0,1.0,1.0,0,0,0
1,40,0x0091,11,0,203.15206909179688,4.255441665649414,195.34716796875,1.0,1.0,1.0,0,0,0
1,41,0x0091,11,0,184.31768798828125,5.826895713806152,202.707275390625,1.0,1.0,1.0,0,0,0
