floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,11,1,1,1,1,stop,1,"{""0x0045"": 1}"
1,21,2,1,1,1,stop,1,"{""0x0045"": 1}"
1,51,5,1,1,1,stop,8,"{""0x0045"": 8}"
1,81,8,1,1,1,stop,21,"{""0x0045"": 21}"
1,101,10,1,1,1,stop,1,"{""0x0045"": 1}"
1,111,11,1,1,1,stop,1,"{""0x0045"": 1}"
1,161,16,1,1,1,stop,1,"{""0x0045"": 1}"
2,11,1,1,1,1,stop,2,"{""0x0045"": 2}"
2,21,2,1,1,1,stop,5,"{""0x0045"": 5}"
2,31,3,1,1,1,stop,40,"{""0x0045"": 40}"
2,41,4,1,1,1,stop,11,"{""0x0045"": 11}"
2,51,5,1,1,1,stop,2,"{""0x0045"": 2}"
2,61,6,1,1,1,stop,4,"{""0x0045"": 4}"
2,71,7,1,1,1,stop,1,"{""0x0045"": 1}"
2,101,10,1,1,1,stop,7,"{""0x0045"": 7}"
2,111,11,1,1,1,stop,2,"{""0x0045"": 2}"
2,121,12,1,1,1,stop,3,"{""0x0045"": 3}"
2,131,13,1,1,1,stop,3,"{""0x0045"": 3}"
2,151,15,1,1,1,stop,6,"{""0x0045"": 6}"
2,161,16,1,1,1,stop,1,"{""0x0045"": 1}"
