label,line,opcode,args
start,27,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,30,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,33,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,36,set_floor_handler,"... 0x8 /* 8 */, label0099"
start,38,set_qt_success,label00F9
label0096,53,switch_jmp,"r0, [label00C8, label00C9]"
label012C,158,set_quest_board_handler,"... 0x1 /* 1 */, label0131, ""「謎のメール」"""
label0136,180,jmpi_eq,"r255, 0x00000001, label0137"
label0140,241,item_create2,"r160-r171, r172"
label0140,267,item_create2,"r160-r171, r171"
label0140,280,item_create2,"r160-r171, r171"
label0140,293,item_create2,"r160-r171, r171"
label0181,320,jmpi_eq,"r254, 0x00000001, label0182"
label0173,518,switch_jmp,"r248, [label0175, label0176]"
label0196,616,switch_jmp,"r248, [label0192, label0191]"
label0192,630,set_quest_board_handler,"... 0x2 /* 2 */, label0198, ""「謎のアイテム」"""
label0193,645,switch_jmp,"r248, [label0195, label0194]"
label019A,707,jmpi_eq,"r254, 0x00000001, label019C"
label01CD,1023,switch_on,... 0x6E /* 110 */
label01D7,1152,switch_on,... 0x64 /* 100 */
label01D6,1237,jmpi_eq,"r254, 0x00000001, label01D8"
label01D8,1250,jmpi_eq,"r254, 0x00000001, label01D9"
label0098,1291,switch_on,... 0x4 /* 4 */
label0098,1293,switch_on,... 0x5 /* 5 */
label0098,1295,switch_on,... 0x6 /* 6 */
label0098,1297,switch_on,... 0x7 /* 7 */
label0098,1299,switch_on,... 0x8 /* 8 */
label0098,1301,switch_on,... 0x9 /* 9 */
label0098,1303,switch_on,... 0xA /* 10 */
label02C6,1309,jmpi_eq,"r254, 0x00000001, label02C7"
label02D0,1349,jmpi_eq,"r254, 0x00000001, label02D3"
label02CB,1370,jmpi_eq,"r254, 0x00000001, label02CC"
label01F4,1393,jmpi_eq,"r254, 0x00000001, label01FA"
label01F5,1423,switch_jmp,"r248, [label01F6, label01F8]"
label01F6,1441,clear_quest_board_handler,... 0x3 /* 3 */
label01F6,1447,set_quest_board_handler,"... 0x3 /* 3 */, label01FB, ""「きれいな蝶」"""
label0320,1537,jmpi_eq,"r254, 0x00000001, label0321"
label01FE,1600,set_quest_board_handler,"... 0x3 /* 3 */, label0200, ""「水」"""
label0209,1662,switch_jmp,"r248, [label020B, label020A]"
label020E,1715,switch_jmp,"r248, [label020F, label0210]"
label0211,1751,switch_jmp,"r248, [label020F, label0262, label0210]"
label0262,1768,switch_jmp,"r248, [label0263, label020F, label0210]"
label0263,1783,switch_jmp,"r248, [label0264, label0210]"
label0269,1893,item_create2,"r160-r171, r172"
label0213,1972,switch_jmp,"r248, [label0214, label025F]"
label0214,1988,switch_jmp,"r248, [label0215, label0219]"
label0216,2027,switch_jmp,"r248, [label0217, label0218]"
label0217,2041,clear_quest_board_handler,... 0x4 /* 4 */
label021B,2090,switch_jmp,"r248, [label021A, label0219, label0258]"
label0259,2128,switch_jmp,"r248, [label025A, label025D]"
label02BC,2228,jmpi_eq,"r254, 0x00000001, label02BD"
label02BE,2322,set_quest_board_handler,"... 0x4 /* 4 */, label02BF, ""「きれいなお洋服」"""
label032A,2458,jmpi_eq,"r254, 0x00000001, label032B"
label032F,2477,jmpi_eq,"r254, 0x00000001, label0330"
label0334,2537,jmpi_eq,"r254, 0x00000001, label0335"
label0348,2557,jmpi_eq,"r254, 0x00000001, label0349"
label034D,2576,jmpi_eq,"r254, 0x00000001, label034E"
label0352,2636,jmpi_eq,"r254, 0x00000001, label0353"
label023B,2910,jmpi_eq,"r254, 0x00000001, label0001"
label023C,2922,set,r254
label023C,2941,switch_on,... 0x64 /* 100 */
label02E4,3139,jmpi_eq,"r255, 0x00000001, label02E5"
label02E4,3148,pl_add_meseta,"... 0x0 /* 0 */, 0x64 /* 100 */"
label02E4,3163,set,r255
label00A0,3202,find_inventory_item,"r60-r62, r63"
label00A0,3213,find_inventory_item,"r60-r62, r63"
label004E,3227,find_inventory_item,"r60-r62, r63"
label0038,3241,find_inventory_item,"r60-r62, r63"
label0009,3266,switch_jmp,"r248, [label00A1, label00A2]"
label00A1,3285,item_delete_by_type,"r60-r62, r63-r74"
label0005,3362,item_delete_by_type,"r60-r62, r63-r74"
label0005,3367,item_delete_by_type,"r160-r162, r163-r174"
label002E,3418,item_delete_by_type,"r60-r62, r63-r74"
label002E,3423,item_delete_by_type,"r160-r162, r163-r174"
label0017,3514,unequip_item,"... 0x3 /* 3 */, 0x0 /* 0 */"
label0017,3517,unequip_item,"... 0x3 /* 3 */, 0x1 /* 1 */"
label0017,3520,unequip_item,"... 0x3 /* 3 */, 0x2 /* 2 */"
label0019,3646,switch_call,"r199, [label0001, label0401]"
label004B,3692,switch_call,"r196, [label0001, label002F]"
label0031,4041,item_delete_by_type,"r60-r62, r63-r74"
label002C,4095,switch_call,"r248, [label0043, label0027]"
label0037,4195,switch_call,"r248, [label0050, label000A]"
label003B,4290,item_create2,"r160-r171, r172"
label003B,4303,item_delete_by_type,"r60-r62, r63-r74"
label0003,4355,item_create2,"r160-r171, r172"
label0393,4380,find_inventory_item,"r60-r62, r63"
label0030,4388,find_inventory_item,"r60-r62, r63"
label0028,4396,find_inventory_item,"r60-r62, r63"
label0044,4443,item_create2,"r160-r171, r172"
label0345,4560,jmpi_eq,"r254, 0x00000000, label0001"
label03E8,4782,switch_on,... 0xCD /* 205 */
