label,line,opcode,args
start,23,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,26,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,29,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,33,set_qt_success,label00FA
label0096,43,jmpi_eq,"r253, 0x00000001, label00FB"
label0097,57,switch_on,... 0x1 /* 1 */
label0097,59,switch_on,... 0x4 /* 4 */
label0097,61,switch_on,... 0xA /* 10 */
label0098,72,switch_on,... 0x4 /* 4 */
label0098,74,switch_on,... 0x5 /* 5 */
label0098,76,switch_on,... 0x7 /* 7 */
label0098,78,switch_on,... 0x9 /* 9 */
label0098,80,switch_on,... 0xB /* 11 */
label00FA,100,pl_add_meseta,"... 0x0 /* 0 */, 0x9C4 /* 2500 */"
label0136,120,jmpi_eq,"r255, 0x00000001, label013A"
label0136,121,jmpi_eq,"r254, 0x00000001, label0139"
label0139,199,set,r255
label0139,205,clear_quest_board_handler,... 0x0 /* 0 */
label0139,207,clear_quest_board_handler,... 0x1 /* 1 */
label0139,209,clear_quest_board_handler,... 0x2 /* 2 */
label0139,211,clear_quest_board_handler,... 0x3 /* 3 */
label0139,213,clear_quest_board_handler,... 0x4 /* 4 */
label0140,232,jmpi_eq,"r255, 0x00000001, label0141"
label014A,254,jmpi_eq,"r255, 0x00000001, label014B"
label0154,276,jmpi_eq,"r255, 0x00000001, label0155"
label0118,314,set_quest_board_handler,"... 0x0 /* 0 */, label0122, ""Biological data 1"""
label0119,338,set_quest_board_handler,"... 0x1 /* 1 */, label0123, ""Biological data 2"""
label011A,362,set_quest_board_handler,"... 0x2 /* 2 */, label0124, ""Biological data 3"""
label011B,384,set_quest_board_handler,"... 0x3 /* 3 */, label0125, ""Biological data 4"""
label011C,406,set_quest_board_handler,"... 0x4 /* 4 */, label0126, ""Biological data 5"""
label011E,426,set,r254
label00D1,645,jmpi_eq,"r254, 0x00000001, label0001"
label00D1,646,jmpi_eq,"r253, 0x00000001, label0001"
label00D2,652,show_timer,
label00D2,657,winset_time,r70
label00D2,660,set,r253
label00D3,672,hide_timer,
label00D4,677,hide_timer,
