floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001D,10,0,0,0,-49.0010986328125,0.0,51.0,0.0,0.0,0.0,1011.0,850.0,0,0
0,1,0x0004,20,0,0,0,167.99769592285156,0.0,83.99686431884766,24.000009536743164,0.0,0.0,1016.0010986328125,100.00004577636719,1,0
0,2,0x002B,20,0,0,0,156.0028839111328,0.0,-49.99967575073242,30.000009536743164,0.0,0.0,104.00003814697266,320.00018310546875,1,0
0,3,0x001A,20,0,0,0,237.9988250732422,0.0,-14.0001220703125,0.0,0.0,0.0,1019.0010986328125,120.00008392333984,0,0
0,4,0x0019,20,0,0,0,238.00379943847656,0.0,63.00413513183594,0.0,0.0,0.0,1020.0010986328125,130.00009155273438,0,0
0,5,0x0005,20,0,0,0,-2.001882553100586,0.0,35.0036506652832,26.000009536743164,0.0,0.0,1014.0010986328125,80.00006866455078,1,0
0,6,0x001E,20,0,0,0,-147.0000457763672,0.0,-7.996537208557129,30.000009536743164,0.0,0.0,1013.0010986328125,70.00006103515625,1,0
0,7,0x000D,20,0,0,0,-219.99710083007812,0.0,-100.0008316040039,30.000011444091797,0.0,0.0,1012.0010986328125,60.000057220458984,1,0
0,8,0x001D,20,0,0,0,-262.5099792480469,0.0,-24.53999900817871,0.0,0.0,0.0,1010.0,840.0,0,0
0,9,0x000E,20,0,0,0,97.0244140625,0.0,-12.82979965209961,23.000009536743164,0.0,0.0,103.00004577636719,310.0001220703125,1,0
0,10,0x0019,20,0,0,0,-231.43304443359375,0.0,30.262357711791992,0.0,0.0,0.0,105.00004577636719,330.0001220703125,0,0
0,11,0x001C,30,0,0,0,-43.70983123779297,2.5999999046325684,-52.78248596191406,0.0,0.0,0.0,1009.0,830.0,0,0
0,12,0x000C,30,0,0,0,0.3424072265625,2.5999996662139893,-84.72157287597656,0.0,0.0,0.0,1006.0010986328125,800.0,0,0
0,13,0x0005,30,0,0,0,43.87113952636719,2.5999996662139893,-74.80302429199219,0.0,0.0,0.0,1008.0010986328125,820.0,0,0
0,14,0x000B,30,0,0,0,75.88380432128906,2.5999996662139893,-42.69328308105469,0.0,0.0,0.0,1007.0010986328125,810.0,0,0
0,15,0x0007,30,0,0,0,16.003997802734375,0.0,5.99566650390625,22.000009536743164,0.0,0.0,1021.0010986328125,140.00006103515625,1,0
0,16,0x001F,40,0,0,0,0.3097381591796875,3.0,-105.3865966796875,0.0,0.0,0.0,1017.0010986328125,860.0,0,0
0,17,0x001F,40,0,0,0,53.499176025390625,0.0,-26.496688842773438,18.000009536743164,0.0,0.0,1018.0010986328125,110.00005340576172,1,0
3,0,0x0061,10,1,1,0,49.0052490234375,0.0,-70.19256591796875,0.0,0.0,0.0,0.0,0.0,0,0
3,1,0x0061,10,1,1,0,-10.10357666015625,0.0,5.6707763671875,0.0,0.0,0.0,0.0,0.0,0,0
3,2,0x0063,11,1,1,0,55.9349365234375,0.0,60.717041015625,0.8000001311302185,20.000009536743164,0.0,0.0,0.0,0,0
3,3,0x0063,11,1,1,0,-3.71875,0.0,8.58447265625,0.8000001311302185,20.000009536743164,0.0,0.0,0.0,0,0
3,4,0x0063,30,2,2,0,-145.02932739257812,3.4470884799957275,-108.8251953125,0.7000001072883606,20.000009536743164,0.0,0.0,0.0,0,0
3,5,0x0063,30,2,2,0,57.0565185546875,3.5077784061431885,-111.4798583984375,0.7000001072883606,20.000009536743164,0.0,0.0,0.0,0,0
3,6,0x0063,30,1,1,0,-15.2579345703125,-0.9921079874038696,31.9901123046875,0.0,0.0,0.0,0.0,0.0,2,0
3,7,0x0063,30,1,1,0,-39.8023681640625,-0.5220854878425598,-57.00390625,0.0,0.0,0.0,0.0,0.0,2,0
3,8,0x0063,31,1,1,0,-121.22509765625,3.9843015670776367,125.2274169921875,0.8000001311302185,0.0,0.0,0.0,0.0,1,0
3,9,0x0063,31,1,1,0,-82.29623413085938,3.610560178756714,123.7099609375,0.0,0.0,0.0,0.0,0.0,0,0
3,10,0x0063,31,1,1,0,-81.1676025390625,3.802311658859253,87.00537109375,0.0,0.0,0.0,0.0,0.0,0,0
3,11,0x0061,32,2,2,0,-1.28076171875,2.548727035522461,69.685302734375,0.0,0.0,0.0,0.0,0.0,0,0
3,12,0x0063,32,2,2,0,-36.892578125,0.0,-59.1268310546875,0.0,20.000009536743164,0.0,0.0,0.0,0,0
3,13,0x0063,32,1,1,0,-155.0986328125,2.992013692855835,-82.6904296875,0.0,0.0,0.0,0.0,0.0,0,0
3,14,0x0063,33,2,2,0,-136.70652770996094,3.816774368286133,-124.6923828125,0.6000000834465027,20.000009536743164,0.0,0.0,0.0,0,0
3,15,0x0063,33,2,2,0,133.01644897460938,3.942612409591675,-132.49102783203125,0.6000000834465027,20.000009536743164,0.0,0.0,0.0,0,0
