label,line,instructions
start,38,33
label0001,73,1
label0096,76,15
label00FA,93,10
label0097,105,13
label0098,120,1
label0099,123,11
label009A,136,7
label009B,145,7
label00A1,154,2
label0136,158,53
label0137,214,7
label0138,223,13
label014B,238,35
label014E,275,35
label0151,312,35
label0139,349,12
label0155,363,35
label0158,400,35
label015B,437,35
label013A,474,5
label015E,481,12
label015F,495,35
label0162,532,35
label0165,569,35
label0172,606,12
label0173,620,35
label0176,657,35
label0179,694,35
label017C,731,12
label017D,745,35
label0180,782,35
label0183,819,35
label013B,856,8
label013C,866,7
label01AE,875,6
label01AF,883,4
label01B0,889,5
label0140,896,18
label0141,917,7
label0142,926,9
label0168,937,17
label0169,956,17
label019A,975,7
label016A,984,19
label016B,1005,19
label016C,1026,19
label0190,1047,6
label0191,1055,20
label0192,1077,20
label0193,1099,20
label0194,1121,20
label0195,1143,20
label0196,1165,20
label0123,1187,8
label0124,1197,4
label0125,1203,4
label0126,1209,4
label0127,1215,4
label0128,1221,4
label00DC,1227,12
label00DD,1241,8
label0118,1251,8
label0119,1261,8
label0122,1271,4
label012C,1277,13
label00CC,1292,26
label00CF,1320,1
label00D0,1323,4
label0186,1329,13
label0187,1344,36
label018A,1382,36
label018D,1420,36
label05DC,1458,22
label05DD,1482,6
