label,line,opcode,args
start,24,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,27,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,30,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,33,set_floor_handler,"... 0x3 /* 3 */, label0099"
start,36,set_floor_handler,"... 0x4 /* 4 */, label009A"
start,37,set_qt_success,label00FA
label012F,177,jmpi_eq,"r254, 0x00000001, label0135"
label0130,199,switch_jmp,"r58, [label0132, label0131]"
label0136,233,set_quest_board_handler,"... 0x0 /* 0 */, label015D, ""「ライオネルのメール」"""
label0140,291,switch_on,... 0x1E /* 30 */
label0155,320,switch_jmp,"r58, [label0156, label0157]"
label0158,346,switch_jmp,"r58, [label0159, label015A]"
label015A,377,switch_on,... 0x50 /* 80 */
label015A,380,clear_quest_board_handler,... 0x1 /* 1 */
label015A,384,set_quest_board_handler,"... 0x1 /* 1 */, label015B, ""「ライオネルの頭」"""
label015B,419,switch_on,... 0x50 /* 80 */
label0028,436,switch_on,... 0x50 /* 80 */
label017C,635,set_quest_board_handler,"... 0x2 /* 2 */, label015B, ""「ライオネルの右腕」"""
label017D,654,set_quest_board_handler,"... 0x3 /* 3 */, label015B, ""「ライオネルの右足」"""
label017E,673,set_quest_board_handler,"... 0x4 /* 4 */, label015B, ""「ライオネルの左足」"""
label017F,690,clear_quest_board_handler,... 0x1 /* 1 */
label017F,692,clear_quest_board_handler,... 0x2 /* 2 */
label017F,694,clear_quest_board_handler,... 0x3 /* 3 */
label017F,696,clear_quest_board_handler,... 0x4 /* 4 */
label0180,731,set_quest_board_handler,"... 0x1 /* 1 */, label015C, ""「アンドロイドの頭」"""
label014A,762,set,r254
label014B,805,set,r255
label00FB,906,pl_add_meseta,"... 0x0 /* 0 */, 0xBB8 /* 3000 */"
label00FC,917,pl_add_meseta,"... 0x0 /* 0 */, 0x1770 /* 6000 */"
label00FD,928,pl_add_meseta,"... 0x0 /* 0 */, 0x2328 /* 9000 */"
label00FE,939,pl_add_meseta,"... 0x0 /* 0 */, 0x2EE0 /* 12000 */"
