source,opcode,target,line
start,call,label004C,28
start,set_floor_handler,label0096,31
start,set_floor_handler,label0098,34
start,set_floor_handler,label00A0,37
start,set_qt_success,label00FA,38
label0096,switch_call,label0001,49
label0096,switch_call,label0097,49
label0096,thread_stg,label00D1,50
label0096,jmpi_eq,label0120,51
label0096,jmpi_eq,label00FB,52
label0096,thread_stg,label00C8,53
label0096,jmpi_eq,label00BC,54
label0096,call,label0136,72
label00B4,jmpi_eq,label00B6,99
label00B4,jmpi_eq,label00B5,100
label00B4,call,label00DE,101
label00B4,call,label00DD,112
label00B5,call,label00DE,116
label00B5,call,label00CF,117
label00B5,call,label00DD,148
label00B6,jmpi_eq,label00B7,152
label00B6,call,label00DE,153
label00B6,call,label00DD,162
label00B7,call,label00DE,166
label00B7,call,label00DD,181
label00FA,jmpi_eq,label00FC,197
label00FA,jmpi_eq,label00FD,198
label00FA,jmpi_eq,label00FE,199
label00FA,jmpi_eq,label00FF,200
label00A0,call,label0007,262
label00A0,call,label0107,263
label00A0,thread_stg,label00C8,264
label00A0,thread_stg,label00D1,265
label00A0,thread_stg,label0108,266
label00A0,thread_stg,label0119,267
label00A0,thread_stg,label011B,268
label00A0,jmpi_eq,label0001,324
label00A1,jmpi_eq,label0001,334
label0136,call,label00DC,361
label0136,call,label00CF,362
label0136,call,label00CF,363
label0136,jmp,label0137,382
label0137,switch_jmp,label0138,388
label0137,switch_jmp,label0139,388
label0138,jmp,label013A,400
label0139,jmp,label013A,407
label013A,call,label00CF,435
label013A,call,label00CF,436
label013A,call,label00DD,439
label013A,thread_stg,label00D1,441
label0140,jmpi_eq,label0141,446
label0143,jmpi_eq,label0141,465
label014A,jmpi_eq,label014D,478
label014A,jmpi_eq,label014C,479
label014A,jmpi_eq,label014E,480
label014A,jmpi_eq,label014B,481
label014A,jmpi_eq,label014F,482
label014E,jmpi_eq,label014B,509
label014E,jmpi_eq,label014B,510
label014C,jmpi_eq,label0001,535
label014C,jmpi_eq,label0001,536
label014C,jmpi_eq,label0001,537
label014C,jmpi_eq,label0001,538
label014C,jmpi_eq,label0001,539
label0154,jmpi_eq,label0156,568
label0154,jmpi_eq,label0157,569
label0154,jmpi_eq,label0155,570
label0157,jmpi_eq,label0155,603
label015E,jmpi_eq,label0001,613
label015E,call,label00E4,616
label015E,call,label00E5,630
label015F,call,label00E4,634
label015F,call,label00E5,639
label0160,jmpi_eq,label0001,643
label0160,call,label00E4,645
label0160,switch_call,label0161,646
label0160,switch_call,label0162,646
label0160,call,label00CF,651
label0160,call,label00CF,654
label0160,call,label00E5,656
label041A,call,label00CF,743
label041A,jmpi_eq,label016B,744
label041A,jmp,label0169,778
label0169,switch_jmp,label016A,784
label0169,switch_jmp,label016B,784
label00DC,call,label00CF,867
label00DE,call,label00CF,894
label00E4,call,label00CF,910
label00D0,jmpi_le,label00D0,929
label00D1,jmpi_eq,label0001,933
label00D1,jmpi_eq,label0001,934
label00D1,jmpi_eq,label0001,935
label00D1,jmpi_gt,label00D2,936
label00D2,jmpi_eq,label00D4,946
label00D2,jmpi_gt,label00D2,947
label00D2,thread_stg,label00D3,951
label00D3,call,label00CF,958
label0108,jmpi_le,label0108,971
label0108,jmpi_eq,label0116,972
label0108,jmpi_le,label0108,973
label0108,jmpi_eq,label0109,974
label0108,jmpi_le,label0108,975
label0108,jmpi_eq,label010A,976
label0108,jmpi_le,label0108,977
label0108,jmpi_eq,label010B,978
label0108,jmpi_le,label0108,979
label0108,jmpi_eq,label010C,980
label0108,jmpi_le,label0108,981
label0108,jmpi_eq,label010D,982
label0108,jmpi_le,label0108,983
label0108,jmpi_eq,label010E,984
label0108,jmpi_le,label0108,985
label0108,jmpi_eq,label0117,986
label0108,jmpi_le,label0108,987
label0108,jmpi_eq,label010F,988
label0108,jmpi_le,label0108,989
label0108,jmpi_eq,label0110,990
label0108,jmpi_le,label0108,991
label0108,jmpi_eq,label0111,992
label0108,jmpi_le,label0108,993
label0108,jmpi_eq,label0112,994
label0108,jmpi_le,label0108,995
label0108,jmpi_eq,label0113,996
label0108,jmpi_le,label0108,997
label0108,jmpi_eq,label0114,998
label0108,jmpi_le,label0108,999
label0108,jmpi_eq,label0115,1000
label0108,jmpi_le,label0108,1001
label0108,call,label00CF,1002
label0108,jmp,label0004,1003
label0109,jmp,label0108,1014
label010A,jmp,label0108,1025
label010B,jmp,label0108,1036
label010C,jmp,label0108,1047
label010D,jmp,label0108,1058
label010E,jmp,label0108,1069
label010F,jmp,label0108,1080
label0110,jmp,label0108,1091
label0111,jmp,label0108,1102
label0112,jmp,label0108,1113
label0113,jmp,label0108,1124
label0114,jmp,label0108,1135
label0115,jmp,label0108,1146
label0116,call,label00CF,1150
label0116,call,label00E4,1151
label0116,call,label00E5,1156
label0116,jmp,label0108,1158
label011A,jmpi_eq,label0001,1162
label011A,call,label00E4,1163
label011A,call,label00E5,1168
label011A,jmp,label0108,1169
label0117,call,label00CF,1173
label0117,call,label00E4,1174
label0117,call,label00E5,1181
label0117,jmp,label0108,1183
label0119,jmpi_eq,label0001,1187
label0119,jmpi_eq,label0119,1192
label0119,call,label00CF,1193
label0119,jmp,label011A,1195
label011B,jmpi_eq,label0001,1199
label011B,jmpi_eq,label011B,1204
label011B,call,label00CF,1205
label011B,jmp,label011A,1207
label00C8,jmpi_eq,label00CA,1215
label00C8,jmpi_eq,label00C8,1219
label00C8,call,label00CF,1222
label00C8,call,label00CF,1223
label0023,thread_stg,label004A,1292
label004A,jmpi_eq,label0038,1302
label004A,jmp,label004A,1304
label001F,jmp,label003B,1336
label000E,jmp,label003B,1341
label0039,jmp,label003B,1346
label0020,jmp,label003B,1351
label002C,jmp,label003B,1356
label0045,jmp,label003B,1361
label003E,jmp,label003B,1366
label0048,jmp,label003B,1371
label003A,jmp,label003B,1376
label003B,jmpi_gt,label003B,1382
label012C,jmp,label0003,1386
label0003,jmpi_gt,label0008,1391
label0003,call,label000F,1393
label0003,call,label0049,1394
label0003,call,label0023,1395
label0003,call,label002C,1396
label0003,call,label0009,1397
label0043,call,label002C,1401
label0043,call,label0044,1402
label0043,call,label0017,1403
label0009,jmpi_ge,label0043,1417
label0009,jmp,label0009,1419
label0004,jmpi_gt,label0008,1433
label0004,jmpi_eq,label0001,1441
label0004,jmpi_eq,label0001,1443
label0004,call,label004B,1445
label0004,call,label0016,1447
label0004,call,label0014,1448
label0004,call,label0045,1453
label0004,call,label0040,1454
label0004,call,label0042,1455
label0004,call,label0021,1457
label0004,call,label0023,1458
label0004,call,label000B,1460
label0004,jmpi_eq,label0047,1462
label0004,call,label000A,1463
label0004,call,label000C,1464
label0004,call,label002C,1466
label0004,call,label003E,1467
label0004,call,label0018,1468
label0004,call,label0045,1469
label0004,call,label001D,1470
label0004,call,label0039,1471
label0004,call,label0024,1472
label0004,call,label002C,1473
label0004,call,label000D,1474
label0004,jmp,label0046,1475
label0030,call,label0045,1478
label0030,call,label0012,1480
label0030,call,label0014,1481
label0030,call,label0031,1482
label0030,jmp,label0029,1483
label0006,call,label002F,1488
label0006,call,label002C,1490
label0006,call,label0044,1493
label0006,call,label002C,1495
label0006,call,label002F,1496
label0006,call,label001C,1499
label0006,call,label002F,1500
label0047,call,label0035,1504
label0047,call,label0045,1505
label0047,call,label0034,1506
label0047,call,label001A,1508
label0047,call,label002C,1509
label0047,call,label003C,1510
label0047,call,label0039,1511
label0047,call,label001E,1518
label0047,call,label002D,1519
label0047,call,label0022,1520
label0047,call,label0041,1521
label0047,call,label0025,1522
label0047,call,label0018,1523
label0047,call,label0045,1524
label0047,call,label001D,1525
label0047,call,label0039,1526
label0047,call,label0024,1527
label0047,call,label002C,1528
label0047,call,label000D,1529
label0047,call,label0028,1530
label0047,call,label0026,1531
label0047,call,label0039,1532
label0047,call,label002E,1533
label0047,call,label002B,1534
label0047,call,label0032,1535
label0047,jmp,label0030,1536
label000B,thread_stg,label0010,1704
label0010,jmpi_le,label0008,1709
label0010,jmp,label0010,1711
label000D,thread_stg,label0015,1714
label0015,jmpi_le,label0008,1719
label0015,jmp,label0015,1721
label0011,thread_stg,label0019,1724
label0019,jmpi_le,label0008,1729
label0019,jmp,label0019,1731
label0046,call,label0161,1744
label0046,call,label0026,1745
label0046,jmp,label0030,1746
label0029,jmp,label0033,1860
label0033,jmpi_le,label0033,1871
label0033,call,label002C,1872
label0033,jmp,label0006,1873
label004C,jmp_on,label001B,1882
label0037,thread_stg,label0013,1891
label0013,jmpi_eq,label0013,1897
label0014,thread_stg,label003F,1902
label003F,jmpi_eq,label003F,1908
