floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
8,602,60,2,10,1,set_switch(55); set_switch(56); set_switch(52); set_switch(51); stop,8,"{""0x00A8"": 8}"
8,601,60,1,10,1,stop,6,"{""0x00A5"": 1, ""0x00A6"": 5}"
8,201,20,1,10,1,set_switch(50); set_switch(49); set_switch(45); set_switch(46); set_switch(47); set_switch(48); stop,6,"{""0x00A8"": 4, ""0x00A0"": 2}"
8,701,70,1,10,1,trigger_event(7011); stop,7,"{""0x00A8"": 7}"
8,7011,70,2,10,1,trigger_event(7012); stop,6,"{""0x00A6"": 6}"
8,7012,70,3,10,1,set_switch(43); set_switch(44); stop,7,"{""0x00A0"": 1, ""0x00A8"": 6}"
8,311,31,1,10,1,set_switch(34); set_switch(33); set_switch(36); set_switch(35); set_switch(39); set_switch(40); set_switch(37); set_switch(38); set_switch(31); set_switch(32); stop,2,"{""0x00A5"": 2}"
8,401,40,1,10,1,stop,9,"{""0x00A8"": 8, ""0x00A5"": 1}"
8,211,21,1,10,1,set_switch(41); set_switch(42); stop,5,"{""0x00A6"": 4, ""0x00A0"": 1}"
8,221,22,1,10,1,set_switch(28); set_switch(27); set_switch(23); set_switch(24); stop,4,"{""0x00A5"": 1, ""0x00A6"": 3}"
8,502,50,1,10,1,set_switch(29); set_switch(30); set_switch(31); set_switch(32); stop,8,"{""0x00A8"": 8}"
8,321,32,1,10,1,set_switch(25); set_switch(26); set_switch(21); set_switch(22); set_switch(20); set_switch(19); set_switch(17); set_switch(18); set_switch(16); set_switch(15); set_switch(13); set_switch(14); set_switch(11); set_switch(12); set_switch(10); set_switch(9); set_switch(1); set_switch(2); set_switch(3); set_switch(4); stop,5,"{""0x00A5"": 2, ""0x00A6"": 3}"
8,241,24,1,10,1,stop,6,"{""0x00A6"": 6}"
8,231,23,1,10,1,trigger_event(2311); stop,2,"{""0x00A1"": 2}"
8,2311,23,2,10,1,set_switch(5); set_switch(6); set_switch(3); set_switch(4); stop,6,"{""0x00A6"": 3, ""0x00A8"": 3}"
8,331,33,1,10,1,trigger_event(3311); stop,5,"{""0x00A6"": 5}"
8,3311,33,2,10,1,trigger_event(3312); stop,6,"{""0x00A5"": 2, ""0x00A8"": 4}"
8,3312,33,3,10,1,set_switch(7); set_switch(8); stop,3,"{""0x00A0"": 2, ""0x00A1"": 1}"
9,201,20,1,30,1,set_switch(37); set_switch(38); stop,2,"{""0x00A0"": 2}"
9,211,21,1,10,1,set_switch(7); set_switch(8); set_switch(35); set_switch(36); stop,6,"{""0x00A3"": 1, ""0x00A2"": 5}"
9,212,21,2,60,1,stop,3,"{""0x00A6"": 3}"
9,231,23,1,1,1,trigger_event(2311); stop,6,"{""0x00A8"": 6}"
9,2311,23,2,1,1,trigger_event(2312); stop,5,"{""0x00A3"": 1, ""0x00A2"": 4}"
9,2312,23,3,1,1,set_switch(17); set_switch(18); set_switch(19); set_switch(20); set_switch(21); set_switch(22); stop,4,"{""0x00A8"": 4}"
9,241,24,1,1,1,trigger_event(2411); stop,5,"{""0x00A6"": 5}"
9,2411,24,2,1,1,set_switch(23); set_switch(24); set_switch(25); set_switch(26); set_switch(39); set_switch(40); stop,4,"{""0x00A0"": 4}"
9,301,30,1,30,1,set_switch(31); set_switch(32); stop,6,"{""0x00A8"": 6}"
9,311,31,1,30,1,trigger_event(3111); stop,2,"{""0x00A0"": 2}"
9,3111,31,2,60,1,set_switch(11); set_switch(12); set_switch(13); set_switch(14); set_switch(15); set_switch(16); set_switch(33); set_switch(34); stop,5,"{""0x00A6"": 5}"
9,312,31,3,120,1,stop,5,"{""0x00A8"": 5}"
9,331,33,1,30,1,trigger_event(3311); stop,5,"{""0x00A6"": 5}"
9,3311,33,2,60,1,set_switch(43); set_switch(44); stop,3,"{""0x00A0"": 3}"
9,401,40,1,1,1,trigger_event(4011); stop,4,"{""0x00A6"": 4}"
9,4011,40,2,30,1,set_switch(5); set_switch(6); set_switch(9); set_switch(10); stop,4,"{""0x00A6"": 4}"
9,411,41,1,30,1,trigger_event(4111); stop,2,"{""0x00A0"": 2}"
9,4111,41,2,60,1,set_switch(3); set_switch(4); set_switch(27); set_switch(28); set_switch(29); set_switch(30); stop,1,"{""0x00A7"": 1}"
9,421,42,1,1,1,stop,4,"{""0x00A8"": 4}"
9,441,44,1,1,1,trigger_event(4411); stop,6,"{""0x00A3"": 1, ""0x00A2"": 3, ""0x00A6"": 2}"
9,4411,44,2,30,1,set_switch(59); set_switch(60); set_switch(61); set_switch(62); set_switch(63); set_switch(64); stop,5,"{""0x00A7"": 1, ""0x00A8"": 4}"
9,601,60,1,1,1,set_switch(53); set_switch(54); set_switch(55); set_switch(56); set_switch(57); set_switch(58); stop,5,"{""0x00A6"": 2, ""0x00A8"": 3}"
9,801,80,1,30,1,trigger_event(8011); stop,7,"{""0x00A4"": 1, ""0x00A6"": 6}"
9,8011,80,2,60,1,trigger_event(8012); stop,6,"{""0x00A8"": 6}"
9,8012,80,3,1,1,trigger_event(8013); stop,9,"{""0x00A2"": 8, ""0x00A3"": 1}"
9,8013,80,4,15,1,set_switch(41); set_switch(42); set_switch(43); set_switch(44); set_switch(45); set_switch(46); set_switch(47); set_switch(48); set_switch(49); set_switch(50); set_switch(51); set_switch(52); stop,3,"{""0x00A4"": 1, ""0x00A0"": 2}"
