source,opcode,target,line
label03A5,jmpi_eq,label041B,53
label0006,jmpi_eq,label041B,60
start,set_floor_handler,label0012,111
start,set_floor_handler,label0014,114
start,set_floor_handler,label0016,117
start,set_floor_handler,label0017,120
start,set_floor_handler,label0022,123
start,set_floor_handler,label0023,126
start,set_floor_handler,label0021,129
start,set_qt_success,label00FA,130
start,set_qt_failure,label00F0,131
start,call,label033A,143
start,call,label03A6,144
label03A6,va_call,label0006,152
label03A6,jmpi_eq,label0687,154
label0687,va_call,label03A5,166
label0687,va_call,label03A5,172
label0687,va_call,label03A5,178
label0687,va_call,label03A5,184
label033A,jmpi_eq,label027B,190
label033A,jmpi_eq,label0290,191
label033A,jmpi_eq,label02A7,192
label0012,call,label0490,224
label0012,call,label020F,225
label0012,call,label07C6,226
label0012,jmpi_eq,label06CF,227
label0012,jmpi_eq,label0617,228
label0012,jmpi_eq,label07CC,229
label0012,jmpi_eq,label05F6,230
label0012,jmpi_eq,label05DA,231
label0012,jmpi_eq,label05F6,232
label0012,call,label05D8,234
label0012,jmpi_eq,label0072,235
label0012,jmp,label07F2,236
label0617,jmpi_ge,label0641,241
label04DB,jmpi_eq,label03F6,246
label04DB,jmpi_eq,label03F6,247
label04DB,jmp,label04DB,248
label05F6,call,label0210,288
label05D8,jmpi_eq,label041B,293
label05D8,call,label0876,294
label05D8,call,label08E1,295
label05D8,call,label043D,296
label05D8,call,label058C,297
label05D8,call,label051C,299
label05D8,call,label06F2,300
label05D8,call,label074C,301
label05D8,call,label03F3,302
label0014,call,label020F,329
label0014,call,label0210,330
label0014,call,label0896,331
label0014,call,label004C,333
label0014,call,label077C,334
label0014,call,label022A,335
label0014,call,label0490,336
label0014,call,label0334,337
label0014,call,label0631,338
label0014,call,label004C,345
label0014,call,label0289,346
label0014,call,label0310,347
label0014,call,label055C,348
label0014,jmp,label0194,349
label0016,call,label020F,471
label0016,call,label0210,472
label0016,call,label0896,473
label0016,call,label0049,474
label0016,call,label0490,475
label0016,call,label022A,476
label0016,call,label077D,477
label0016,call,label002F,478
label0016,call,label037C,479
label0016,call,label0542,480
label0016,jmp,label07AA,481
label0017,call,label06F2,559
label0017,call,label020F,562
label0017,call,label0210,563
label0017,call,label0896,564
label0017,call,label0490,565
label0017,call,label022A,566
label0017,call,label00D0,567
label0017,call,label00D7,568
label0017,call,label0394,569
label0022,call,label06F2,638
label0022,call,label029B,639
label0022,call,label020F,640
label0022,call,label07C6,641
label0022,call,label01C9,642
label0022,call,label022A,643
label0022,call,label0490,644
label0022,jmpi_ge,label014E,645
label0022,jmp,label0674,646
label014E,call,label06F2,650
label014E,call,label076D,652
label014E,call,label0129,653
label014E,call,label058C,654
label0023,call,label0766,717
label0023,call,label020F,718
label0023,call,label07C6,719
label0023,call,label0896,720
label0023,call,label04B1,721
label0023,call,label0895,722
label0023,call,label0490,723
label0023,call,label017C,724
label0023,call,label0543,726
label0021,call,label0028,759
label0021,call,label087A,762
label0021,call,label0896,763
label0021,call,label0895,764
label0021,thread_stg,label04C7,765
label0021,call,label0787,766
label00FA,call,label03A8,781
label00FA,jmpi_eq,label077E,782
label00FA,jmpi_eq,label055D,783
label00FA,jmpi_eq,label041C,784
label00FA,jmp,label03A7,785
label077E,jmp,label0102,791
label055D,jmp,label0642,797
label041C,jmp,label082C,803
label03A7,jmp,label0007,809
label0007,jmp,label0188,815
label082C,jmp,label0188,822
label0642,jmp,label0188,829
label0102,jmp,label0188,836
label03A8,jmpi_eq,label08A0,847
label03A8,jmpi_eq,label027C,853
label08A0,va_call,label082B,865
label08A0,va_call,label082B,870
label08A0,va_call,label082B,875
label08A0,va_call,label082B,880
label08A0,va_call,label082B,885
label08A0,jmpi_eq,label0618,887
label08A0,va_call,label01C8,891
label0618,va_call,label01C8,899
label07F2,call,label06F2,911
label07F2,call,label0876,912
label07F2,call,label033A,913
label07F2,call,label08E1,915
label07F2,call,label043D,916
label07F2,call,label037C,917
label07F2,call,label058B,918
label07F2,call,label045D,919
label07F2,call,label080C,920
label07F2,call,label058C,921
label07F2,call,label0852,923
label07F2,call,label0070,924
label07F2,call,label08E0,925
label07F2,call,label01CA,926
label07F2,call,label05D4,927
label07F2,jmp,label00D8,928
label04FC,call,label08E1,931
label04FC,call,label006F,932
label04FC,call,label05D4,933
label04FC,call,label05D4,936
label04FC,call,label074C,943
label04FC,call,label03F3,944
label00D8,switch_jmp,label04FC,1030
label00D8,switch_jmp,label080E,1030
label080E,jmp,label00D8,1041
label0667,jmpi_gt,label041B,1098
label0667,jmpi_lt,label041B,1099
label0667,jmpi_eq,label041B,1100
label0667,call,label0876,1102
label0667,call,label0824,1104
label0667,call,label07EC,1105
label0667,call,label05D4,1106
label0667,call,label05B0,1107
label0667,call,label05D9,1108
label0667,call,label082D,1109
label0667,call,label043D,1110
label0667,call,label0640,1111
label0667,call,label07A6,1113
label0667,call,label08C0,1114
label0667,call,label089C,1116
label0667,call,label082E,1117
label0667,call,label004D,1119
label0667,call,label05D4,1120
label0667,call,label0719,1121
label0667,call,label00D9,1122
label0667,call,label07A5,1123
label0667,call,label05F7,1124
label0667,call,label05D4,1125
label0667,call,label0688,1126
label0667,call,label074C,1136
label0667,call,label0640,1137
label0667,call,label03F3,1139
label018E,jmpi_gt,label041B,1310
label018E,jmpi_lt,label041B,1311
label018E,jmpi_eq,label041B,1312
label018E,call,label0876,1314
label018E,call,label0091,1320
label018E,call,label05D4,1324
label018E,call,label087B,1325
label018E,call,label05D4,1326
label018E,call,label06CD,1327
label018E,call,label03F3,1328
label06CD,thread_stg,label071A,1332
label071A,call,label0494,1336
label071A,call,label0008,1337
label071A,call,label0494,1338
label071A,call,label05D4,1339
label071A,call,label0494,1340
label071A,call,label0494,1341
label071A,call,label012B,1342
label077F,jmpi_gt,label041B,1347
label077F,jmpi_lt,label041B,1348
label077F,jmpi_eq,label041B,1349
label077F,call,label0850,1351
label077F,call,label012A,1352
label077F,call,label043D,1353
label077F,call,label012C,1354
label077F,call,label0494,1355
label077F,jmpi_eq,label0291,1357
label077F,call,label08BA,1360
label077F,call,label0142,1361
label077F,call,label0640,1362
label077F,call,label04DC,1363
label077F,call,label025D,1364
label077F,call,label07A5,1365
label077F,call,label089C,1368
label077F,call,label07A5,1369
label077F,call,label0104,1370
label077F,call,label074C,1376
label0291,call,label01F9,1380
label0291,call,label07A5,1381
label07CA,call,label0876,1546
label07CA,call,label037C,1548
label07CA,call,label053D,1553
label07CA,call,label033C,1554
label07CA,call,label043D,1555
label07CA,call,label07A5,1556
label07CA,call,label03CD,1557
label07CA,call,label05D4,1558
label07CA,call,label033D,1559
label07CA,call,label0494,1561
label07CA,call,label089C,1563
label07CA,call,label0640,1564
label07CA,call,label038A,1566
label07CA,call,label041D,1567
label07CA,call,label0319,1568
label07CA,call,label03AA,1569
label07CA,call,label089C,1571
label07CA,call,label0494,1572
label07CA,call,label03AB,1573
label07CA,call,label03CE,1574
label07CA,call,label03F8,1575
label07CA,call,label043F,1576
label07CA,call,label03CF,1577
label07CA,call,label0494,1578
label07CA,call,label0640,1580
label07CA,call,label04DF,1581
label07CA,call,label0460,1583
label07CA,jmp,label0781,1584
label0189,jmpi_eq,label03F7,1587
label055E,jmpi_eq,label02A8,1593
label02A8,jmpi_eq,label05B1,1599
label033B,jmp,label05B1,1603
label03F7,va_call,label082B,1610
label03F7,va_call,label082B,1615
label03F7,va_call,label01C8,1620
label03F7,jmpi_eq,label0105,1622
label0071,va_call,label01C8,1628
label0105,jmpi_eq,label05B1,1632
label01CC,va_call,label01C8,1638
label01CC,jmp,label05B1,1640
label05B1,call,label0494,1644
label05B1,call,label03FA,1647
label01CD,call,label0494,1650
label01CD,call,label04E0,1651
label01CD,call,label0210,1652
label01CD,jmp,label01FA,1653
label01FA,call,label037C,1658
label01FA,call,label0498,1659
label01FA,call,label0389,1660
label01FA,call,label07A5,1661
label01FA,call,label058C,1662
label01FA,call,label080C,1663
label01FA,call,label03F9,1665
label01FA,call,label045E,1666
label01FA,call,label05D4,1667
label01FA,call,label089C,1669
label01FA,call,label0494,1670
label01FA,call,label04DD,1671
label01FA,call,label0494,1672
label01FA,call,label04BC,1673
label01FA,call,label0558,1674
label01FA,call,label0619,1675
label01FA,call,label089C,1677
label01FA,call,label0589,1678
label01FA,call,label04DE,1680
label01FA,jmp,label080F,1681
label012D,call,label04BC,1685
label012D,call,label05D4,1686
label012D,call,label045F,1687
label012D,call,label04DE,1688
label012D,jmp,label080F,1689
label014F,call,label074C,1692
label014F,call,label07A5,1693
label014F,call,label0560,1694
label014F,call,label07A5,1695
label014F,call,label04FD,1699
label014F,call,label0441,1700
label014F,call,label03F3,1702
label021A,call,label0420,1710
label021A,call,label07A5,1711
