label,line,opcode,args
label0033,24,read_switch_flag_on_floor,r1-r3
label0033,28,set_switch_flag_sync,"... r1, r2"
label0031,34,read_switch_flag_on_floor,r1-r3
label0031,38,clear_switch_flag_sync,"... r1, r2"
label0012,178,read_switch_flag_on_floor,r60-r62
start,308,set_qt_success,label0069
start,309,set_qt_failure,label0053
start,318,set_floor_handler,"... 0x0 /* 0 */, label0058"
start,321,set_floor_handler,"... 0x1 /* 1 */, label0022"
start,324,set_floor_handler,"... 0x5 /* 5 */, label006F"
start,327,set_floor_handler,"... 0x8 /* 8 */, label005B"
start,330,set_floor_handler,"... 0x9 /* 9 */, label0055"
label0078,353,pl_add_meseta2,... 0x1388 /* 5000 */
label003F,363,pl_add_meseta2,... 0x2710 /* 10000 */
label006D,373,pl_add_meseta2,... 0x3A98 /* 15000 */
label0052,383,pl_add_meseta2,... 0x4E20 /* 20000 */
label0058,390,jmpi_eq,"r254, 0x00000001, label0001"
label0058,391,jmpi_eq,"r253, 0x00000001, label0066"
label0032,433,sync_register2,"... r205, 0x1 /* 1 */"
label0079,492,jmpi_eq,"r254, 0x00000001, label0001"
label0079,497,set,r254
label0022,522,sync_register2,"... r205, 0x1 /* 1 */"
label0027,527,gettime,r201
label006E,543,show_timer,
label006E,545,gettime,r201
label006E,548,winset_time,r203
label006E,550,hide_timer,
label0059,565,set,r253
label0059,581,clear_switch_flag_sync,"... 0x5 /* 5 */, 0x3C /* 60 */"
label0059,584,clear_switch_flag_sync,"... 0x8 /* 8 */, 0x5A /* 90 */"
label007B,587,hide_timer,
label004E,594,read_switch_flag_on_floor,r60-r62
label004E,597,read_switch_flag,r140-r141
label004E,599,read_switch_flag,r142-r143
label004E,601,read_switch_flag,r144-r145
label004E,603,read_switch_flag,r146-r147
label0036,610,set_switch_flag_sync,"... 0x1 /* 1 */, 0x14 /* 20 */"
label0034,625,read_switch_flag_on_floor,r60-r62
label0034,628,read_switch_flag,r140-r141
label0034,630,read_switch_flag,r142-r143
label0034,632,read_switch_flag,r144-r145
