label,line,opcode,args
label0087,24,read_switch_flag_on_floor,r1-r3
label0087,28,set_switch_flag_sync,"... r1, r2"
label007C,34,read_switch_flag_on_floor,r1-r3
label007C,38,clear_switch_flag_sync,"... r1, r2"
label0026,223,read_switch_flag_on_floor,r60-r62
start,356,set_qt_exit,label0063
start,357,set_qt_cancel,label002E
start,358,set_qt_success,label00F2
start,359,set_qt_failure,label00D1
start,370,set_floor_handler,"... 0x0 /* 0 */, label008C"
start,373,set_floor_handler,"... 0x6 /* 6 */, label0096"
start,376,set_floor_handler,"... 0x8 /* 8 */, label00A0"
start,379,set_floor_handler,"... 0x7 /* 7 */, label00AA"
start,382,set_floor_handler,"... 0x3 /* 3 */, label00B4"
start,385,set_floor_handler,"... 0x5 /* 5 */, label00BE"
label00F2,405,pl_add_meseta2,... 0x1388 /* 5000 */
label0088,415,pl_add_meseta2,... 0x1B58 /* 7000 */
label0479,423,jmpi_eq,"r254, 0x00000001, label0159"
label0478,777,jmpi_eq,"r254, 0x00000001, label0138"
label0478,778,jmpi_eq,"r253, 0x00000001, label0139"
label0138,895,jmpi_eq,"r255, 0x00000001, label00EC"
label0138,986,set,r255
label002F,1061,set,r255
label008C,1121,switch_jmp,"r109, [label008D, label008E]"
label008D,1126,switch_call,"r250, [label0036, label003B, label0041, label0044]"
label00AA,1402,sync_register2,"... r86, 0x1 /* 1 */"
label00BE,1493,jmpi_eq,"r254, 0x00000001, label0001"
label00A7,1545,jmpi_eq,"r254, 0x00000001, label0001"
label00A7,1546,jmpi_eq,"r253, 0x00000001, label0001"
label0030,1576,jmpi_eq,"r254, 0x00000001, label0001"
label0030,1577,jmpi_eq,"r253, 0x00000001, label0001"
label010F,1610,read_switch_flag_on_floor,r60-r62
label0065,1617,read_switch_flag_on_floor,r60-r62
label0008,1627,set_switch_flag_sync,"... 0x3 /* 3 */, r140"
label0008,1630,sync_register2,"... r83, 0x1 /* 1 */"
label0018,1634,jmpi_eq,"r254, 0x00000001, label0001"
label0018,1635,jmpi_eq,"r253, 0x00000001, label0001"
label005C,1660,jmpi_eq,"r254, 0x00000001, label0001"
label005C,1661,jmpi_eq,"r253, 0x00000001, label0001"
label005C,1665,read_switch_flag_on_floor,r60-r62
label0066,1678,jmpi_eq,"r254, 0x00000001, label0001"
label0066,1679,jmpi_eq,"r253, 0x00000001, label0001"
label0066,1683,read_switch_flag_on_floor,r60-r62
label0070,1696,jmpi_eq,"r254, 0x00000001, label0001"
label0070,1697,jmpi_eq,"r253, 0x00000001, label0001"
label0070,1701,read_switch_flag_on_floor,r60-r62
label0076,1714,jmpi_eq,"r254, 0x00000001, label0001"
label0076,1715,jmpi_eq,"r253, 0x00000001, label0001"
label0076,1719,read_switch_flag_on_floor,r60-r62
label00E0,1749,jmpi_eq,"r254, 0x00000001, label0001"
label00E0,1755,read_switch_flag_on_floor,r60-r62
label00F9,1765,switch_call,"r141, [label0028, label0031, label0037]"
label00F9,1769,switch_jmp,"r100, [label0106, label004C]"
label004C,1779,clear_switch_flag_sync,"... 0x5 /* 5 */, 0x29 /* 41 */"
label009C,1832,sync_register2,"... r34, 0x1 /* 1 */"
label009C,1836,set_switch_flag_sync,"... 0x5 /* 5 */, r140"
label009C,1839,sync_register2,"... r84, 0x1 /* 1 */"
label0003,1844,jmpi_eq,"r254, 0x00000001, label0001"
label0003,1845,jmpi_eq,"r253, 0x00000001, label0001"
label0003,1853,hide_timer,
label0003,1856,sync_register2,"... r35, 0x1 /* 1 */"
label0003,1860,sync_register2,"... r32, 0x1 /* 1 */"
label0003,1862,set,r254
label0082,1867,set,r254
label00A2,1874,read_switch_flag_on_floor,r60-r62
label001C,1914,sync_register2,"... r58, r58"
label001C,1917,read_switch_flag_on_floor,r60-r62
label00FC,1924,read_switch_flag_on_floor,r60-r62
label00FC,1927,read_switch_flag_on_floor,r60-r62
label00FC,1930,read_switch_flag_on_floor,r60-r62
label00FC,1933,read_switch_flag_on_floor,r60-r62
label00FC,1936,read_switch_flag_on_floor,r60-r62
label009F,1955,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0078,1961,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0078,1965,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0078,1969,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0078,1973,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0078,1977,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A9,1993,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0101,2002,sync_register2,"... r58, r58"
label0101,2005,read_switch_flag_on_floor,r60-r62
label00C7,2012,read_switch_flag_on_floor,r60-r62
label00C7,2015,read_switch_flag_on_floor,r60-r62
label00C7,2018,read_switch_flag_on_floor,r60-r62
label00C7,2021,read_switch_flag_on_floor,r60-r62
label00C7,2024,read_switch_flag_on_floor,r60-r62
label00AB,2042,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0091,2048,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0091,2052,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0091,2056,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0091,2060,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0091,2064,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0056,2080,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0020,2089,sync_register2,"... r58, r58"
label0020,2092,read_switch_flag_on_floor,r60-r62
label0102,2099,read_switch_flag_on_floor,r60-r62
label0102,2102,read_switch_flag_on_floor,r60-r62
label0102,2105,read_switch_flag_on_floor,r60-r62
label0102,2108,read_switch_flag_on_floor,r60-r62
label0102,2111,read_switch_flag_on_floor,r60-r62
label00C0,2129,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A3,2135,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A3,2139,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A3,2143,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A3,2147,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00A3,2151,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B3,2167,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00C4,2176,sync_register2,"... r58, r58"
label00C4,2179,read_switch_flag_on_floor,r60-r62
label0079,2186,read_switch_flag_on_floor,r60-r62
label0079,2189,read_switch_flag_on_floor,r60-r62
label0079,2192,read_switch_flag_on_floor,r60-r62
label0079,2195,read_switch_flag_on_floor,r60-r62
label0079,2198,read_switch_flag_on_floor,r60-r62
label00CC,2216,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B5,2222,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B5,2226,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B5,2230,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B5,2234,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label00B5,2238,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0004,2253,set_switch_flag_sync,"... 0x7 /* 7 */, r140"
label0019,2257,jmpi_eq,"r253, 0x00000001, label0001"
