floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
3,201,20,1,3,1,trigger_event(203); stop,4,"{""0x0114"": 1, ""0x0115"": 3}"
3,203,20,2,3,1,set_switch(21); trigger_event(202); stop,6,"{""0x0115"": 3, ""0x0111"": 2, ""0x0041"": 1}"
3,202,20,4,3,1,set_switch(22); stop,7,"{""0x0114"": 2, ""0x0116"": 1, ""0x0110"": 2, ""0x0115"": 2}"
3,301,30,99,3,1,trigger_event(302); trigger_event(303); stop,0,{}
3,302,30,1,3,1,trigger_event(304); stop,1,"{""0x0115"": 1}"
3,304,30,3,3,1,trigger_event(305); stop,3,"{""0x0041"": 1, ""0x0115"": 2}"
3,305,30,5,3,1,set_switch(32); stop,4,"{""0x0111"": 3, ""0x0114"": 1}"
3,303,30,2,3,1,trigger_event(306); stop,2,"{""0x0111"": 1, ""0x0115"": 1}"
3,306,30,4,3,1,trigger_event(307); stop,4,"{""0x0116"": 1, ""0x0111"": 2, ""0x0115"": 1}"
3,307,30,6,3,1,set_switch(33); stop,5,"{""0x0110"": 3, ""0x0111"": 2}"
3,601,60,1,3,1,trigger_event(602); stop,1,"{""0x0115"": 1}"
3,602,60,2,3,1,trigger_event(603); stop,1,"{""0x0115"": 1}"
3,603,60,3,3,1,trigger_event(604); stop,1,"{""0x0115"": 1}"
3,604,60,4,3,1,trigger_event(605); stop,1,"{""0x0110"": 1}"
3,605,60,4,3,1,set_switch(63); stop,1,"{""0x0110"": 1}"
3,606,60,6,3,1,trigger_event(607); stop,3,"{""0x0110"": 3}"
3,607,60,7,3,1,trigger_event(608); stop,6,"{""0x0111"": 3, ""0x0115"": 3}"
3,608,60,6,3,1,set_switch(64); stop,3,"{""0x0110"": 3}"
3,901,90,1,3,1,trigger_event(902); stop,4,"{""0x0110"": 1, ""0x0115"": 2, ""0x0041"": 1}"
3,902,90,2,3,1,trigger_event(903); stop,6,"{""0x0041"": 2, ""0x0110"": 1, ""0x0115"": 2, ""0x0111"": 1}"
3,903,90,3,3,1,trigger_event(904); stop,5,"{""0x0110"": 2, ""0x0111"": 3}"
3,904,90,4,3,1,set_switch(94); stop,6,"{""0x0116"": 1, ""0x0110"": 1, ""0x0114"": 1, ""0x0115"": 3}"
5,101,10,1,3,1,trigger_event(102); stop,10,"{""0x0111"": 10}"
5,102,10,2,3,1,trigger_event(103); stop,8,"{""0x0114"": 2, ""0x0111"": 6}"
5,103,10,3,3,1,set_switch(10); stop,6,"{""0x0114"": 1, ""0x0116"": 1, ""0x0110"": 2, ""0x0115"": 2}"
5,201,20,1,3,1,trigger_event(202); stop,6,"{""0x0110"": 4, ""0x0115"": 2}"
5,202,20,2,3,1,trigger_event(203); stop,5,"{""0x0110"": 3, ""0x0116"": 2}"
5,203,20,3,3,1,set_switch(20); stop,9,"{""0x0116"": 1, ""0x0111"": 3, ""0x0115"": 5}"
5,301,30,1,3,1,trigger_event(302); stop,10,"{""0x0041"": 10}"
5,302,30,2,3,1,set_switch(31); stop,10,"{""0x0041"": 10}"
5,401,40,1,3,1,trigger_event(402); stop,7,"{""0x0110"": 1, ""0x0111"": 4, ""0x0115"": 2}"
5,402,40,2,3,1,trigger_event(403); stop,8,"{""0x0115"": 2, ""0x0114"": 1, ""0x0110"": 2, ""0x0111"": 3}"
5,403,40,3,3,1,set_switch(43); stop,8,"{""0x0111"": 2, ""0x0115"": 4, ""0x0114"": 1, ""0x0116"": 1}"
5,501,50,1,3,1,trigger_event(502); stop,7,"{""0x0116"": 1, ""0x0110"": 2, ""0x0111"": 3, ""0x0114"": 1}"
5,502,50,2,3,1,trigger_event(503); stop,7,"{""0x0114"": 2, ""0x0116"": 1, ""0x0115"": 4}"
5,503,50,3,3,1,set_switch(50); stop,8,"{""0x0115"": 3, ""0x0110"": 2, ""0x0111"": 3}"
5,601,60,1,3,1,trigger_event(602); stop,4,"{""0x0115"": 2, ""0x0110"": 1, ""0x0114"": 1}"
5,602,60,2,3,1,trigger_event(603); stop,7,"{""0x0115"": 3, ""0x0116"": 2, ""0x0111"": 2}"
5,603,60,3,3,1,set_switch(60); stop,10,"{""0x0115"": 10}"
