source,opcode,target,line
label01BA,switch_call,label026B,26
label01BA,switch_call,label02A3,26
label01BA,switch_call,label02D6,26
label01BA,switch_call,label0311,26
label01FF,switch_call,label02F4,70
label01FF,switch_call,label0324,70
label01FF,switch_call,label0020,70
label01FF,switch_call,label004E,70
label02BB,call,label010A,134
label02CC,call,label00C9,144
label02CD,call,label010A,153
label02D7,call,label00C9,162
label02D8,call,label010A,179
label02E5,call,label00C9,190
label02E6,call,label010A,206
label02F5,call,label00C9,216
label010A,call,label0174,220
label010A,call,label0174,221
label010A,call,label0174,222
label0174,call,label008E,226
label0174,call,label00C9,227
label0226,call,label00C9,283
label0226,jmpi_eq,label0226,285
label0226,jmpi_eq,label0226,286
label00EB,va_call,label0124,301
label00EB,va_call,label0124,308
label00EB,va_call,label0124,315
label00EB,va_call,label0124,322
label00EB,va_call,label0124,329
label00EB,va_call,label0124,336
label02BC,jmp_gt,label004F,342
label02BC,jmp,label02BC,353
label00D8,jmpi_le,label0197,371
label00D8,jmp,label00D8,374
label0197,jmpi_le,label0125,377
label0197,jmp,label0197,380
label0125,jmpi_le,label0016,383
label0125,jmp,label0125,386
label0016,jmpi_le,label016D,389
label0016,jmp,label0016,392
label016D,jmpi_le,label016E,395
label016D,jmp,label016D,398
label0305,va_call,label0304,433
label0305,call,label00EB,445
start,set_floor_handler,label012C,460
start,set_floor_handler,label0136,463
start,set_floor_handler,label0140,466
start,set_qt_success,label0134,467
start,set_qt_failure,label02BD,468
label0134,call,label0017,484
label0017,switch_jmp,label0289,488
label0017,switch_jmp,label023A,488
label0017,switch_jmp,label02F6,488
label0017,switch_jmp,label02E7,488
label012C,call,label007F,530
label012C,thread_stg,label0151,531
label012C,switch_call,label023B,535
label012C,switch_call,label026C,535
label012C,switch_call,label02A4,535
label012C,switch_call,label02D9,535
label012C,switch_call,label005A,539
label012C,switch_call,label0066,539
label012C,switch_call,label0073,539
label012C,switch_call,label0080,539
label012C,call,label0067,540
label012C,jmpi_eq,label012D,541
label012C,call,label0227,542
label012E,call,label0002,551
label012E,jmpi_eq,label0126,552
label012E,jmpi_eq,label0126,556
label012E,jmp,label0325,557
label0126,call,label031C,560
label0325,call,label031C,566
label0151,call,label00C9,588
label0151,jmp,label0151,589
label0136,call,label0067,647
label0136,thread_stg,label01B1,648
label0136,thread_stg,label0200,649
label0136,thread_stg,label0306,650
label0136,thread_stg,label0003,651
label0136,thread_stg,label002E,652
label0136,thread_stg,label005D,653
label0136,thread_stg,label0007,654
label0136,thread_stg,label00A8,655
label0136,va_call,label01BC,661
label0136,thread_stg,label02A2,663
label0136,thread_stg,label00B8,664
label0137,jmpi_eq,label0001,671
label0137,thread_stg,label0293,673
label0138,call,label032A,678
label0139,jmpi_eq,label0072,682
label0139,jmpi_ne,label0001,683
label013B,jmpi_ne,label0001,697
label00B8,jmpi_eq,label00B8,706
label00B8,call,label018C,707
label00B8,jmpi_ne,label00B9,711
label00B8,call,label00F9,712
label00B9,call,label0217,716
label00B9,jmp,label00B9,717
label0140,call,label01D6,743
label0140,call,label0067,745
label0140,thread_stg,label0097,746
label0140,thread_stg,label02AA,747
label0140,thread_stg,label006A,748
label0140,thread_stg,label00BA,749
label0140,thread_stg,label005B,750
label0140,thread_stg,label02A2,751
label0140,va_call,label01BC,757
label0141,jmpi_eq,label0001,763
label0141,thread_stg,label016A,766
label0142,call,label00DA,771
label0143,call,label02CD,775
label0143,call,label02D7,793
label01D6,jmpi_lt,label0279,797
label01D6,switch_call,label0169,800
label01D6,switch_call,label0235,800
label01D6,switch_call,label030B,800
label01D6,switch_call,label0091,800
label01D6,switch_call,label0170,800
label0279,jmpi_lt,label0018,803
label0279,switch_call,label0242,806
label0279,switch_call,label0314,806
label0279,switch_call,label009C,806
label0279,switch_call,label017D,806
label0279,switch_call,label024E,806
label0018,jmpi_lt,label00EC,809
label0018,switch_call,label0193,812
label0018,switch_call,label0269,812
label0018,switch_call,label0006,812
label0018,switch_call,label00CE,812
label0018,switch_call,label019C,812
label00EC,jmpi_lt,label01AA,815
label00EC,switch_call,label0276,818
label00EC,switch_call,label0011,818
label00EC,switch_call,label00DD,818
label00EC,switch_call,label01A4,818
label00EC,switch_call,label0284,818
label01AA,jmpi_lt,label028A,821
label01AA,switch_call,label01C5,824
label01AA,switch_call,label029F,824
label01AA,switch_call,label0031,824
label01AA,switch_call,label010F,824
label01AA,switch_call,label01D1,824
label028A,jmpi_lt,label0021,827
label028A,switch_call,label02AD,830
label028A,switch_call,label003B,830
label028A,switch_call,label011B,830
label028A,switch_call,label01DD,830
label028A,switch_call,label02B5,830
label0021,jmpi_lt,label00FC,833
label0021,switch_call,label01FB,836
label0021,switch_call,label02D3,836
label0021,switch_call,label005F,836
label0021,switch_call,label014D,836
label0021,switch_call,label0206,836
label00FC,jmpi_lt,label01BB,839
label00FC,switch_call,label02E0,842
label00FC,switch_call,label0069,842
label00FC,switch_call,label0156,842
label00FC,switch_call,label0212,842
label00FC,switch_call,label02EC,842
label01BB,jmpi_lt,label00ED,845
label01BB,switch_call,label0236,848
label01BB,switch_call,label030C,848
label01BB,switch_call,label0092,848
label01BB,switch_call,label0171,848
label01BB,switch_call,label0243,848
label00ED,jmpi_lt,label0298,851
label00ED,switch_call,label0316,854
label00ED,switch_call,label009E,854
label00ED,switch_call,label017F,854
label00ED,switch_call,label0250,854
label00ED,switch_call,label0320,854
label0144,jmpi_ne,label0001,860
label0144,jmpi_eq,label0143,861
label0144,call,label02CD,862
label0144,call,label02D7,886
label0144,jmpi_eq,label02DA,890
label02DA,jmpi_ne,label026D,894
label005B,jmpi_eq,label005B,906
label005B,call,label019F,907
label005B,jmpi_ne,label00D9,911
label005B,call,label00F9,912
label00D9,call,label028B,916
label00D9,jmp,label00D9,917
label0145,jmpi_eq,label0001,921
label0190,call,label0050,968
label02F7,jmpi_eq,label02F7,973
label02F7,jmpi_eq,label0001,974
label02F7,call,label02CD,976
label02F7,call,label010A,977
label02F7,call,label02D7,983
label00A8,jmp_on,label005C,993
label00A8,jmp,label00A8,994
label005C,va_call,label02B6,1001
label00BA,jmp_on,label0149,1011
label00BA,jmp,label00BA,1012
label014A,va_call,label000B,1025
label014A,jmpi_eq,label01CA,1027
label014A,jmp,label014A,1029
label01CA,jmp,label014A,1033
label0227,thread,label0309,1040
label0227,thread,label0153,1041
label0227,thread,label0119,1042
label0227,thread,label02EA,1043
label0227,call,label01FF,1044
label0227,call,label026E,1045
label0227,thread,label014A,1046
label0227,thread,label0297,1047
label0227,thread,label02C9,1048
label0227,thread,label0302,1049
label0227,thread,label0332,1050
label0227,thread,label002C,1051
label0227,call,label0135,1066
label0227,call,label0135,1104
label0227,switch_call,label020A,1117
label0227,switch_call,label02E8,1117
label0227,switch_call,label0074,1117
label0227,switch_call,label015C,1117
label0227,call,label018D,1118
label0227,call,label010A,1119
label0227,call,label0135,1120
label0175,call,label00A9,1133
label0175,thread,label02F7,1134
label03E8,jmpi_eq,label03EA,1139
label03E8,jmpi_eq,label03E9,1140
label03E9,call,label02CD,1148
label03E9,call,label02D7,1162
label03F2,jmpi_eq,label03F5,1177
label03F2,jmpi_eq,label03F4,1178
label03F2,jmpi_eq,label03F3,1179
label03FC,jmpi_eq,label0403,1218
label03FC,jmpi_eq,label0402,1219
label03FC,jmpi_eq,label0401,1220
label03FC,jmpi_eq,label0400,1221
label03FC,jmpi_eq,label03FD,1222
label03FC,jmp,label03FE,1224
label03FD,jmp,label03FE,1248
label03FE,switch_jmp,label02CE,1265
label03FE,switch_jmp,label01F2,1265
label03FE,switch_jmp,label0176,1265
label03FE,switch_jmp,label01CB,1265
label03FE,switch_jmp,label0254,1265
label0406,jmpi_eq,label0326,1401
label0406,jmpi_eq,label0408,1402
label0406,jmpi_eq,label0407,1403
label0326,jmpi_eq,label040D,1430
label0326,jmpi_eq,label040C,1431
label0326,call,label02CD,1432
label0326,jmpi_eq,label040B,1443
label0326,call,label0146,1444
label0326,jmpi_eq,label01A0,1445
label0326,jmp,label01AB,1446
label040B,call,label0146,1449
label040B,jmpi_lt,label027A,1452
label027A,jmp_gt,label0327,1456
label0327,switch_jmp,label01A0,1460
label0327,switch_jmp,label01AB,1460
label0327,switch_jmp,label01BD,1460
label0327,switch_jmp,label01CC,1460
label0327,switch_jmp,label01D7,1460
label01A0,call,label02D7,1474
label01AB,va_call,label0114,1484
label01AB,call,label02D7,1486
label01BD,va_call,label0114,1496
