floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
17,11,1,1,60,1,trigger_event(111); stop,8,"{""0x00D6"": 8}"
17,111,1,2,120,1,trigger_event(112); stop,11,"{""0x00D6"": 11}"
17,112,1,3,30,1,trigger_event(113); stop,5,"{""0x00D6"": 5}"
17,113,1,4,30,1,set_switch(1); stop,1,"{""0x00D6"": 1}"
17,21,2,1,60,1,trigger_event(215); stop,0,{}
17,215,2,2,30,1,set_switch(2); stop,0,{}
17,201,20,1,30,1,set_switch(3); stop,7,"{""0x00D6"": 7}"
17,101,10,1,60,1,trigger_event(1011); stop,4,"{""0x00D6"": 4}"
17,1011,10,2,30,1,trigger_event(1012); stop,2,"{""0x00D6"": 2}"
17,1012,10,3,60,1,set_switch(4); stop,3,"{""0x00D6"": 3}"
17,31,3,1,60,1,trigger_event(311); stop,0,{}
17,311,3,2,30,1,trigger_event(312); stop,0,{}
17,312,3,3,150,1,set_switch(5); stop,0,{}
17,41,4,1,30,1,stop,0,{}
17,42,4,2,30,1,set_switch(6); stop,0,{}
17,211,21,1,30,1,trigger_event(2111); stop,4,"{""0x00D6"": 4}"
17,2111,21,2,90,1,set_switch(7); stop,4,"{""0x00D6"": 4}"
17,51,5,1,45,1,"construct_objects(room=5,group_or_wave=1); stop",1,"{""0x00D6"": 1}"
17,52,5,2,60,1,"construct_objects(room=5,group_or_wave=2); stop",2,"{""0x00D6"": 2}"
17,53,5,3,90,1,"construct_objects(room=5,group_or_wave=3); set_switch(8); stop",1,"{""0x00D6"": 1}"
17,221,22,1,30,1,trigger_event(2211); stop,4,"{""0x00D6"": 4}"
17,2211,22,2,30,1,set_switch(9); stop,2,"{""0x00D6"": 2}"
17,301,30,1,30,1,trigger_event(3011); stop,4,"{""0x00D6"": 4}"
17,3011,30,2,150,1,trigger_event(3012); stop,2,"{""0x00D6"": 2}"
17,3012,30,3,30,1,trigger_event(3013); stop,1,"{""0x00D6"": 1}"
17,3013,30,4,120,1,trigger_event(3014); stop,2,"{""0x00D6"": 2}"
17,3014,30,5,90,1,trigger_event(3015); stop,2,"{""0x00D6"": 2}"
17,3015,30,6,60,1,trigger_event(3016); stop,2,"{""0x00D6"": 2}"
17,3016,30,7,120,1,trigger_event(3017); stop,1,"{""0x00D6"": 1}"
17,3017,30,8,30,1,set_switch(100); stop,2,"{""0x00D6"": 2}"
17,302,30,9,60,1,trigger_event(3021); stop,3,"{""0x00D6"": 3}"
17,3021,30,10,120,1,trigger_event(3022); stop,1,"{""0x00D6"": 1}"
17,3022,30,11,150,1,trigger_event(3023); stop,2,"{""0x00D6"": 2}"
17,3023,30,12,90,1,trigger_event(3024); stop,1,"{""0x00D6"": 1}"
17,3024,30,13,120,1,trigger_event(3025); stop,2,"{""0x00D6"": 2}"
17,3025,30,14,30,1,trigger_event(3026); stop,2,"{""0x00D6"": 2}"
17,3026,30,15,90,1,trigger_event(3027); stop,2,"{""0x00D6"": 2}"
17,3027,30,16,30,1,set_switch(101); stop,1,"{""0x00D6"": 1}"
17,303,30,17,120,1,trigger_event(3031); stop,1,"{""0x00D6"": 1}"
17,3031,30,18,60,1,trigger_event(3032); stop,5,"{""0x00D6"": 5}"
17,3032,30,19,30,1,trigger_event(3033); stop,5,"{""0x00D6"": 5}"
17,3033,30,20,150,1,set_switch(120); stop,3,"{""0x00D6"": 3}"
16,11,1,1,60,1,trigger_event(111); stop,2,"{""0x00D6"": 2}"
16,111,1,2,60,1,set_switch(1); stop,3,"{""0x00D6"": 3}"
16,21,2,1,30,1,set_switch(2); stop,7,"{""0x00D6"": 7}"
16,201,20,1,30,1,trigger_event(2011); stop,2,"{""0x00D6"": 2}"
16,2011,20,2,30,1,set_switch(3); stop,2,"{""0x00D6"": 2}"
16,202,20,3,15,1,stop,1,"{""0x00D6"": 1}"
16,203,20,4,15,1,stop,2,"{""0x00D6"": 2}"
16,101,10,1,60,1,trigger_event(1011); stop,5,"{""0x00D6"": 5}"
16,1011,10,2,30,1,trigger_event(1012); stop,3,"{""0x00D6"": 3}"
16,1012,10,3,30,1,trigger_event(1013); stop,3,"{""0x00D6"": 3}"
16,1013,10,4,60,1,set_switch(4); stop,2,"{""0x00D6"": 2}"
16,33,3,1,60,1,trigger_event(331); stop,4,"{""0x00D6"": 4}"
16,331,3,2,30,1,trigger_event(332); stop,3,"{""0x00D6"": 3}"
16,332,3,3,150,1,set_switch(5); stop,3,"{""0x00D6"": 3}"
16,41,4,1,30,1,trigger_event(411); stop,6,"{""0x00D6"": 6}"
