label,line,opcode,args
label003D,191,gettime,r47
label00D0,211,show_timer,
label0038,215,gettime,r47
label0038,218,winset_time,r48
label005C,233,gettime,r47
label005C,234,gettime,r49
label000E,253,show_timer,
label004B,257,gettime,r48
label004B,259,winset_time,r48
label002B,276,sync_register2,"... r241, 0x1 /* 1 */"
label0032,282,sync_register2,"... r242, 0x1 /* 1 */"
label0039,288,sync_register2,"... r243, 0x1 /* 1 */"
label003F,294,sync_register2,"... r244, 0x1 /* 1 */"
label0025,300,sync_register2,"... r241, 0x0 /* 0 */"
label002C,306,sync_register2,"... r242, 0x0 /* 0 */"
label0033,312,sync_register2,"... r243, 0x0 /* 0 */"
label003A,318,sync_register2,"... r244, 0x0 /* 0 */"
label0050,324,sync_register2,"... r236, 0x1 /* 1 */"
label0063,330,sync_register2,"... r237, 0x1 /* 1 */"
label0075,336,sync_register2,"... r238, 0x1 /* 1 */"
label0083,342,sync_register2,"... r239, 0x1 /* 1 */"
label0006,348,sync_register2,"... r185, 0x0 /* 0 */"
label0044,354,sync_register2,"... r186, 0x0 /* 0 */"
label0084,360,sync_register2,"... r187, 0x0 /* 0 */"
label00A6,366,sync_register2,"... r188, 0x0 /* 0 */"
label00B5,401,sync_register2,"... r230, 0x1 /* 1 */"
label00B8,407,sync_register2,"... r231, 0x1 /* 1 */"
label00BC,413,sync_register2,"... r232, 0x1 /* 1 */"
label00C1,419,sync_register2,"... r233, 0x1 /* 1 */"
label009B,425,sync_register2,"... r230, 0x0 /* 0 */"
label009E,431,sync_register2,"... r231, 0x0 /* 0 */"
label00A1,438,sync_register2,"... r232, 0x0 /* 0 */"
label00A4,444,sync_register2,"... r233, 0x0 /* 0 */"
label0020,450,sync_register2,"... r85, 0x1 /* 1 */"
label0026,456,sync_register2,"... r86, 0x1 /* 1 */"
label002D,462,sync_register2,"... r87, 0x1 /* 1 */"
label0034,468,sync_register2,"... r88, 0x1 /* 1 */"
label004C,508,set,r253
label00AB,640,switch_call,"r1, [label0054, label0056, label005F, label0069]"
label0045,669,switch_jmp,"r250, [label0093, label0095, label0096, label0097]"
label0099,810,item_create2,"r11-r22, r1"
label0099,812,item_delete_by_type,"r11-r13, r1-r12"
label0008,837,item_delete_by_type,"r11-r13, r24-r35"
label0008,839,item_create2,"r11-r22, r24"
label00AE,850,get_stackable_item_count,"r1-r4, r0"
label0009,868,item_create2,"r11-r22, r11"
start,958,set_qt_exit,label000A
start,959,set_qt_cancel,label000A
start,960,set_qt_success,label0014
start,961,set_qt_failure,label001E
start,964,set_floor_handler,"... 0x0 /* 0 */, label0064"
start,967,set_floor_handler,"... 0xA /* 10 */, label0065"
start,970,set_floor_handler,"... 0x11 /* 17 */, label0066"
label000B,1003,switch_jmp,"r250, [label004D, label004F, label0051, label0055]"
label004D,1009,sync_register2,"... r180, 0x1 /* 1 */"
label004F,1015,sync_register2,"... r181, 0x1 /* 1 */"
label0051,1021,sync_register2,"... r182, 0x1 /* 1 */"
label0055,1027,sync_register2,"... r183, 0x1 /* 1 */"
label0060,1039,sync_register2,"... r190, 0x1 /* 1 */"
label0091,1046,switch_jmp,"r57, [label007C, label0081, label0087]"
label007C,1052,set_switch_flag_sync,"... 0xA /* 10 */, 0x65 /* 101 */"
label007C,1055,set_switch_flag_sync,"... 0xA /* 10 */, 0x6F /* 111 */"
label0081,1061,set_switch_flag_sync,"... 0xA /* 10 */, 0x66 /* 102 */"
label0081,1064,set_switch_flag_sync,"... 0xA /* 10 */, 0x70 /* 112 */"
label0087,1070,set_switch_flag_sync,"... 0xA /* 10 */, 0x67 /* 103 */"
label0087,1073,set_switch_flag_sync,"... 0xA /* 10 */, 0x71 /* 113 */"
label0014,1083,switch_jmp,"r252, [label006A, label0074, label0094, label00B0]"
label00B0,1088,pl_add_meseta2,... 0x9C40 /* 40000 */
label0094,1094,pl_add_meseta2,... 0x4E20 /* 20000 */
label0074,1100,pl_add_meseta2,... 0x2710 /* 10000 */
label006A,1106,pl_add_meseta2,... 0x1388 /* 5000 */
label0064,1185,jmpi_eq,"r255, 0x00000001, label0001"
label0064,1186,jmpi_eq,"r254, 0x00000001, label0005"
label00A5,1199,set_switch_flag_sync,"... 0x0 /* 0 */, 0x64 /* 100 */"
label00A5,1201,switch_call,"r250, [label002B, label0032, label0039, label003F]"
label0005,1240,set,r255
label0005,1247,clear_switch_flag_sync,"... 0x0 /* 0 */, 0x64 /* 100 */"
label0043,1260,set,r255
label0043,1265,clear_switch_flag_sync,"... 0x0 /* 0 */, 0x64 /* 100 */"
label007D,1287,switch_call,"r250, [label00C5, label00CB, label00CF, label00D1]"
label00CC,1332,jmpi_eq,"r255, 0x00000001, label0022"
label00CC,1333,jmpi_eq,"r254, 0x00000001, label0043"
label00BD,1353,jmpi_eq,"r255, 0x00000001, label00C6"
label00C7,1371,jmpi_eq,"r255, 0x00000001, label00CD"
label00A0,1434,jmpi_eq,"r255, 0x00000001, label003B"
label0016,1458,switch_jmp,"r50, [label006F, label006E]"
label006F,1483,switch_call,"r250, [label0023, label002A, label002E, label0037]"
label0024,1562,switch_call,"r250, [label0023, label002A, label002E, label0037]"
label0010,1623,clear_quest_board_handler,... 0x0 /* 0 */
label00C8,1911,clear_quest_board_handler,... 0x0 /* 0 */
label00C8,1916,set_quest_board_handler,"... 0x0 /* 0 */, label012C, ""「研究データ」"""
label0088,1939,jmpi_eq,"r254, 0x00000001, label0001"
label00B7,1974,switch_call,"r250, [label00B3, label00B6, label00BA, label00BF]"
label00B7,1977,set,r254
label00BE,2059,jmpi_eq,"r255, 0x00000001, label007A"
