floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0x000B,10,0,0,0,-45.0,0.0,-60.0,0.0,0.0,0.0,1061.0,720.0,0,0
0,2,0x001F,30,0,0,0,-112.0,-1.7229467630386353e-07,-145.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,1056.0,620.0,0,0
0,4,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,1057.0,640.0,1,0
0,5,0x00D0,30,0,0,0,-196.0,-2.8859823942184448e-05,-144.0,0.0,0.0,0.0,0.0,0.0,0,0
0,6,0x00FB,30,0,0,0,-76.31710052490234,-5.6438148021698e-07,-50.9056396484375,30.0,0.0,0.0,1058.0,660.0,1,0
0,7,0x00F0,30,0,0,0,-35.0,-1.1920928955078125e-07,85.0,0.0,0.0,0.0,1060.0,700.0,0,0
0,8,0x00D3,42,0,0,0,70.0,-5.0,155.0,0.0,0.0,0.0,1054.0,580.0,0,0
0,9,0x00FC,50,0,0,0,0.0,-4.041939973831177e-07,-15.0,0.0,0.0,0.0,1059.0,680.0,0,0
0,10,0x00D1,42,0,0,0,0.0,31.0,-215.0,0.0,0.0,0.0,170.0,170.0,0,0
0,11,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
0,12,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0
0,13,0x00F1,30,0,0,0,-271.0,0.0,-65.0,0.0,0.0,0.0,0.0,0.0,0,0
0,14,0x00D3,30,0,0,0,-255.0,0.0,-128.0,0.0,0.0,0.0,0.0,0.0,0,0
0,15,0x00D2,42,0,0,0,-49.0,31.0,-191.0,0.0,0.0,0.0,175.0,175.0,0,0
0,16,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,185.0,185.0,0,0
