floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
17,0,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,11,0,0
17,1,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,22,0,0
17,2,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,32,0,0
17,3,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,42,0,0
17,4,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,52,0,0
17,5,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,101,0,0
17,6,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,102,0,0
17,7,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,202,0,0
17,8,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,212,0,0
17,9,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,222,0,0
17,10,0x0008,1,0,342.55859375,-20.131053924560547,49.5615234375,171.0,1.0,1.0,302,0,0
17,11,0x0008,1,0,10345.580078125,-20.0,48.6904296875,171.0,1.0,1.0,21,0,0
17,12,0x0008,1,0,20344.80859375,-20.0,51.9501953125,171.0,1.0,1.0,201,0,0
17,13,0x0008,1,0,345.0166015625,-21.0,10045.9296875,171.0,1.0,1.0,101,0,0
17,14,0x0008,1,0,10144.845703125,-20.0,10250.1103515625,171.0,1.0,1.0,31,0,0
17,15,0x0008,1,0,20347.529296875,-20.0,10051.83984375,171.0,1.0,1.0,41,0,0
17,16,0x0008,1,0,347.9345703125,-20.580078125,20048.66015625,171.0,1.0,1.0,211,0,0
17,17,0x0008,1,0,10345.3037109375,-21.0,20048.599609375,171.0,1.0,1.0,51,0,0
17,18,0x0008,1,0,20346.01953125,-20.825977325439453,20050.25,171.0,1.0,1.0,221,0,0
17,19,0x0008,1,0,344.2919921875,-20.246484756469727,50.1787109375,171.0,1.0,1.0,222,0,0
17,20,0x0008,1,0,30000.0,0.0,10000.0,231.0,1.0,1.0,301,0,0
17,21,0x02B9,1,0,-110.0,-1.0,-375.0,305.0,-20.0,-9985.0,32768,2,0
17,22,0x0000,1,0,365.0,-21.0,-20.0,0.0,1.0,1.0,0,0,0
17,23,0x0000,1,0,325.0,-21.0,-20.0,1.0,1.0,1.0,0,0,0
17,24,0x0202,1,0,-50.0,0.0,-385.0,1.0,1.0,1.0,-1,0,0
17,25,0x02B9,1,0,-110.0,-1.0,-395.0,305.0,-20.0,-9985.0,32768,2,0
17,26,0x0200,1,0,-40.0,-1.0,-290.0,1.0,1.0,1.0,0,0,0
