floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
17,11,1,1,1,1,stop,6,"{""0x00DF"": 6}"
17,21,2,1,100,1,trigger_event(213); stop,2,"{""0x00D6"": 2}"
17,213,2,2,100,1,set_switch(2); stop,1,"{""0x00D8"": 1}"
17,201,20,1,100,1,set_switch(3); stop,2,"{""0x00DA"": 2}"
17,202,20,2,10,1,stop,4,"{""0x00DF"": 4}"
17,101,10,1,10,1,set_switch(4); stop,7,"{""0x00DF"": 7}"
17,102,10,2,10,1,stop,3,"{""0x00DF"": 3}"
17,31,3,1,10,1,trigger_event(311); stop,2,"{""0x00D8"": 2}"
17,311,3,2,100,1,set_switch(5); stop,3,"{""0x00DA"": 1, ""0x00D6"": 2}"
17,41,4,1,150,1,set_switch(6); stop,1,"{""0x00E1"": 1}"
17,211,21,1,150,1,set_switch(7); stop,1,"{""0x0061"": 1}"
17,212,21,2,10,1,stop,6,"{""0x00DF"": 6}"
17,51,5,1,10,1,trigger_event(511); stop,3,"{""0x00D6"": 3}"
17,511,5,2,100,1,trigger_event(512); stop,3,"{""0x00D8"": 1, ""0x00DA"": 1, ""0x00D6"": 1}"
17,512,5,3,100,1,set_switch(8); stop,2,"{""0x0061"": 2}"
17,221,22,1,200,1,set_switch(9); stop,2,"{""0x00E1"": 2}"
17,222,22,2,10,1,stop,6,"{""0x00DF"": 6}"
17,301,30,1,200,1,"set_switch(1); construct_objects(room=30,group_or_wave=1); stop",7,"{""0x00E0"": 1, ""0x00D8"": 2, ""0x00DA"": 2, ""0x00E1"": 1, ""0x00D6"": 1}"
