label,line,opcode,args
start,30,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,33,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,36,set_floor_handler,"... 0xB /* 11 */, label00A1"
start,39,set_floor_handler,"... 0x5 /* 5 */, label009B"
start,42,set_floor_handler,"... 0xC /* 12 */, label00A2"
start,45,set_floor_handler,"... 0x7 /* 7 */, label009D"
start,48,set_floor_handler,"... 0xD /* 13 */, label00A3"
start,51,set_floor_handler,"... 0x8 /* 8 */, label009E"
start,54,set_floor_handler,"... 0xA /* 10 */, label00A0"
start,57,set_floor_handler,"... 0xE /* 14 */, label00A4"
start,58,set_qt_success,label00FA
start,59,set_qt_failure,label000A
label0096,109,switch_jmp,"r0, [label00C8, label00C9]"
label00CB,184,sync_register2,"... r95, 0x1 /* 1 */"
label00FB,209,pl_add_meseta2,... 0x1388 /* 5000 */
label00FC,219,pl_add_meseta2,... 0x2710 /* 10000 */
label00FD,229,pl_add_meseta2,... 0x3A98 /* 15000 */
label00FE,239,pl_add_meseta2,... 0x4E20 /* 20000 */
label0097,247,sync_register2,"... r12, 0x1 /* 1 */"
label03E8,290,sync_register2,"... r25, 0x1 /* 1 */"
label03E8,293,sync_register2,"... r132, 0x1 /* 1 */"
label04C4,469,sync_register2,"... r130, 0x0 /* 0 */"
label0514,478,switch_jmp,"r183, [label051E, label0528]"
label0640,537,set_quest_board_handler,"... 0x3 /* 3 */, label064C, ""人間に戻りたい"""
label0352,724,find_inventory_item,"r200-r202, r203"
label0353,731,find_inventory_item,"r200-r202, r203"
label038F,898,find_inventory_item,"r200-r202, r203"
label0075,906,find_inventory_item,"r200-r202, r203"
label037E,940,unequip_item,"... r250, 0x0 /* 0 */"
label037E,952,bb_swap_item,"... 0x0 /* 0 */, 0x68 /* 104 */, 0x0 /* 0 */, 0x0 /* 0 */, 0x58 /* 88 */, 0x0 /* 0 */, label0390, label002C"
label0395,1033,unequip_item,"... r250, 0x0 /* 0 */"
label0395,1045,bb_swap_item,"... 0x0 /* 0 */, 0x58 /* 88 */, 0x0 /* 0 */, 0x0 /* 0 */, 0x68 /* 104 */, 0x0 /* 0 */, label0396, label002C"
label0392,1101,item_create2,"r200-r211, r212"
label0397,1129,item_create2,"r200-r211, r212"
label0190,1349,sync_register2,"... r130, 0x0 /* 0 */"
label0190,1352,sync_register2,"... r15, 0x1 /* 1 */"
label0191,1359,sync_register2,"... r16, 0x1 /* 1 */"
label0192,1367,sync_register2,"... r17, 0x1 /* 1 */"
label0193,1376,sync_register2,"... r18, 0x1 /* 1 */"
label019E,1441,switch_jmp,"r237, [label019E, label019F]"
label019F,1447,sync_register2,"... r16, 0x1 /* 1 */"
label01AF,1487,set,r254
label01B1,1503,set,r254
label05DC,1555,sync_register2,"... r130, 0x0 /* 0 */"
label05DD,1586,sync_register2,"... r130, 0x0 /* 0 */"
label0136,1675,jmpi_eq,"r255, 0x00000001, label0134"
label0136,1676,jmpi_eq,"r254, 0x00000001, label0138"
label0138,1733,switch_jmp,"r252, [label013A, label013A, label03A6, label03BD]"
label0140,1782,jmpi_eq,"r255, 0x00000001, label0145"
label0140,1783,jmpi_eq,"r254, 0x00000001, label0142"
label001A,1908,item_create2,"r200-r211, r212"
label0046,1950,item_create2,"r200-r211, r212"
label0007,2015,item_create2,"r200-r211, r212"
label000C,2089,get_stackable_item_count,"r200-r203, r212"
label0034,2116,item_create2,"r200-r211, r212"
label0023,2140,get_stackable_item_count,"r200-r203, r212"
label014A,2240,jmpi_eq,"r254, 0x00000001, label014C"
label0041,2281,set_quest_board_handler,"... 0x4 /* 4 */, label014E, ""秘密のコード"""
label0067,2393,set_quest_board_handler,"... 0x0 /* 0 */, label064A, ""ドラゴン操縦法"""
label0067,2398,set_quest_board_handler,"... 0x1 /* 1 */, label064B, ""ドラゴン攻略法"""
label0067,2403,set_quest_board_handler,"... 0x2 /* 2 */, label064E, ""ドラゴン内緒話"""
label006F,2456,set_quest_board_handler,"... 0x4 /* 4 */, label014E, ""ラブラブ・コード"""
label0072,2533,item_create2,"r200-r211, r212"
label01F6,2641,sync_register2,"... r110, r111"
label0225,2657,gettime,r55
label0227,2668,gettime,r99
label0228,2673,winset_time,r54
label0228,2675,show_timer,
label0228,2677,jmpi_eq,"r255, 0x00000001, label0229"
label0229,2681,hide_timer,
label022A,2685,winset_time,r54
label022A,2687,show_timer,
label022A,2688,jmpi_eq,"r255, 0x00000001, label0229"
label0320,2856,switch_jmp,"r192, [label0321, label039B]"
label0323,2914,sync_register2,"... r130, 0x1 /* 1 */"
label013A,3032,switch_jmp,"r190, [label006D, label006C, label006B, label006B]"
label0068,3039,set,r255
label0077,3078,switch_jmp,"r190, [label006D, label006C, label006B, label006B]"
label0078,3093,switch_jmp,"r190, [label006D, label006C, label006B, label006B]"
label039A,3278,switch_jmp,"r192, [label039C, label039B]"
label03A1,3331,sync_register2,"... r90, 0x1 /* 1 */"
label03A1,3334,sync_register2,"... r132, 0x1 /* 1 */"
label03B4,3494,sync_register2,"... r90, 0x0 /* 0 */"
label03B4,3497,sync_register2,"... r92, 0x1 /* 1 */"
label03C5,3579,sync_register2,"... r3, 0x1 /* 1 */"
label03C5,3582,sync_register2,"... r85, r85"
label03C5,3585,sync_register2,"... r86, r86"
label03C5,3588,sync_register2,"... r87, r87"
label03C5,3591,sync_register2,"... r35, r35"
label0010,3623,sync_register2,"... r131, r131"
label03D9,3645,find_inventory_item,"r201-r203, r204"
label03DA,3653,find_inventory_item,"r201-r203, r204"
label03DE,3674,find_inventory_item,"r101-r103, r104"
label03DF,3692,find_inventory_item,"r101-r103, r104"
label03A6,3738,switch_jmp,"r190, [label013A, label013A, label013A, label0139]"
label03BD,3910,switch_jmp,"r190, [label03BC, label03AC, label03AB, label03AA]"
label067F,3942,switch_call,"r250, [label0680, label0681, label0682, label0683]"
label0680,3949,sync_register2,"... r126, r54"
label0681,3955,sync_register2,"... r127, r54"
label0682,3961,sync_register2,"... r128, r54"
label0683,3967,sync_register2,"... r129, r54"
label0688,3989,sync_register2,"... r54, r54"
label000D,3999,find_inventory_item,"r60-r62, r216"
