floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
3,101,10,1,30,1,set_switch(6); stop,5,"{""0x0060"": 1, ""0x0063"": 4}"
3,111,11,1,30,1,set_switch(27); stop,5,"{""0x0063"": 4, ""0x0061"": 1}"
3,121,12,1,30,1,set_switch(21); set_switch(22); stop,4,"{""0x0062"": 2, ""0x0063"": 2}"
3,131,13,1,30,1,set_switch(33); set_switch(34); set_switch(135); stop,3,"{""0x0060"": 1, ""0x0062"": 1, ""0x0061"": 1}"
3,141,14,1,30,1,set_switch(49); stop,5,"{""0x0065"": 1, ""0x0061"": 2, ""0x0063"": 2}"
3,151,15,1,30,1,set_switch(45); set_switch(46); stop,5,"{""0x0063"": 4, ""0x0062"": 1}"
3,301,30,1,30,1,set_switch(11); stop,5,"{""0x0063"": 3, ""0x0061"": 1, ""0x0062"": 1}"
3,311,31,1,30,1,set_switch(17); stop,6,"{""0x0061"": 2, ""0x0063"": 4}"
3,321,32,1,30,1,set_switch(25); set_switch(26); stop,5,"{""0x0060"": 1, ""0x0063"": 4}"
3,331,33,1,30,1,set_switch(36); stop,5,"{""0x0060"": 1, ""0x0063"": 4}"
3,341,34,1,30,1,set_switch(43); stop,5,"{""0x0060"": 1, ""0x0063"": 4}"
3,501,50,1,30,1,trigger_event(5011); stop,8,"{""0x0063"": 4, ""0x0060"": 2, ""0x0061"": 2}"
3,5011,50,2,120,1,trigger_event(5012); stop,6,"{""0x0062"": 2, ""0x0061"": 2, ""0x0063"": 2}"
3,5012,50,3,90,1,set_switch(12); set_switch(136); stop,5,"{""0x0065"": 1, ""0x0063"": 3, ""0x0060"": 1}"
3,511,51,1,30,1,trigger_event(5111); stop,9,"{""0x0063"": 6, ""0x0061"": 3}"
3,5111,51,2,120,1,trigger_event(5112); stop,8,"{""0x0061"": 2, ""0x0063"": 4, ""0x0060"": 2}"
3,5112,51,3,90,1,trigger_event(5113); stop,6,"{""0x0062"": 3, ""0x0063"": 3}"
3,5113,51,4,240,1,set_switch(50); stop,4,"{""0x0065"": 4}"
3,521,52,1,30,1,trigger_event(5211); stop,7,"{""0x0063"": 5, ""0x0060"": 1, ""0x0061"": 1}"
3,5211,52,2,120,1,set_switch(1); set_switch(134); stop,7,"{""0x0060"": 3, ""0x0063"": 4}"
