label,line,opcode,args
start,22,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,25,set_floor_handler,"... 0x6 /* 6 */, label009C"
start,28,set_floor_handler,"... 0x7 /* 7 */, label009D"
start,29,set_qt_success,label00FA
label0096,54,switch_jmp,"r0, [label00C8, label00C9]"
label00FB,108,pl_add_meseta2,... 0x1388 /* 5000 */
label00FC,118,pl_add_meseta2,... 0x251C /* 9500 */
label00FD,128,pl_add_meseta2,... 0x61A8 /* 25000 */
label0136,169,jmpi_eq,"r255, 0x00000001, label0139"
label0136,170,jmpi_eq,"r254, 0x00000001, label0138"
label0138,208,sync_register2,"... r255, 0x1 /* 1 */"
label0159,236,jmpi_eq,"r254, 0x00000001, label015A"
label015E,266,jmpi_eq,"r254, 0x00000001, label015F"
label0172,327,update_switch_flag,r150-r152
label01A0,376,jmpi_eq,"r253, 0x00000001, label0001"
label01A0,377,jmpi_eq,"r254, 0x00000001, label0001"
label0195,387,sync_register2,"... r254, 0x1 /* 1 */"
label0195,391,update_switch_flag,r150-r152
label0195,395,update_switch_flag,r150-r152
label01A1,399,jmpi_eq,"r253, 0x00000001, label0001"
label01A2,404,jmpi_eq,"r254, 0x00000000, label01A2"
label0226,418,sync_register2,"... r30, 0x1 /* 1 */"
label01A5,423,jmpi_eq,"r253, 0x00000001, label0001"
label01A6,431,jmpi_eq,"r254, 0x00000000, label01A5"
label01A6,436,update_switch_flag,r150-r152
label0227,457,sync_register2,"... r30, 0x1 /* 1 */"
