source,opcode,target,line
start,set_floor_handler,label0096,19
start,set_floor_handler,label0097,22
start,set_floor_handler,label0098,25
start,set_qt_success,label00FA,26
label0096,switch_jmp,label00C8,51
label0096,switch_jmp,label00C9,51
label00C8,thread_stg,label0136,84
label00C8,thread_stg,label01A5,85
label00C9,thread_stg,label01A5,89
label00FA,jmpi_eq,label00FB,93
label00FA,jmpi_eq,label00FC,94
label00FA,jmpi_eq,label00FD,95
label0097,thread_stg,label01A5,130
label0098,thread_stg,label01A0,141
label0098,thread_stg,label01A1,142
label0098,thread_stg,label01A5,143
label0136,jmpi_eq,label0139,148
label0136,jmpi_eq,label0138,149
label0136,jmpi_eq,label0137,150
label0136,call,label00DC,151
label0136,call,label00CF,152
label0136,call,label00DD,166
label0159,jmpi_eq,label015A,217
label015E,jmpi_eq,label015F,241
label01A0,jmpi_eq,label0001,256
label01A0,jmpi_eq,label0001,257
label0195,jmpi_gt,label0195,263
label0195,jmpi_eq,label01A0,267
label01A1,jmpi_eq,label0001,277
label01A1,jmpi_eq,label0001,278
label01A2,jmpi_eq,label01A2,282
label0226,call,label00CF,286
label01A5,jmpi_eq,label0001,301
label01A5,jmpi_eq,label0001,302
label01A6,jmpi_eq,label01A5,306
label01A6,jmpi_eq,label0001,307
label01A6,thread_stg,label0227,311
label0227,jmpi_eq,label0228,319
label0227,jmpi_eq,label0228,320
label0227,call,label00CF,321
label00D0,jmpi_le,label00D0,383
label0320,jmpi_eq,label0001,387
label0320,call,label0326,389
label0326,jmpi_eq,label0001,394
label0326,jmp,label0326,402
