label,line,instructions
start,16,27
label0001,45,1
label0096,49,2
label00C8,53,33
label00C9,88,2
label00FA,92,4
label00FB,98,8
label00FC,108,8
label00FD,118,8
label0097,128,3
label0098,133,11
label0136,146,20
label0137,169,5
label0138,176,8
label0139,186,5
label0140,193,7
label014A,203,9
label0159,215,6
label015A,224,5
label0154,231,5
label015E,239,6
label015F,248,5
label01A0,255,3
label0195,260,14
label01A1,276,2
label01A2,280,3
label0226,285,13
label01A5,300,2
label01A6,304,12
label0227,318,14
label0228,334,11
label00DC,347,13
label00DD,362,13
label00CF,377,1
label00D0,380,4
label0320,386,4
label0326,392,34
