floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0051,10,0,-231.0,0.0,-240.0,1.0,1.0,1.0,0,0,0
0,1,0x0051,10,0,-121.0,0.0,47.0,1.0,1.0,1.0,1,0,0
0,2,0x0051,10,0,-166.5,0.0,-292.0,1.0,1.0,1.0,2,0,0
0,3,0x0051,10,0,-121.0,0.0,-401.0,1.0,1.0,1.0,3,0,0
0,4,0x0051,10,0,-10126.7998046875,-15.0,-37.0,1.0,1.0,1.0,1,0,0
0,5,0x0051,10,0,-10072.7998046875,-15.09999942779541,-37.0,1.0,1.0,1.0,0,0,0
0,6,0x0051,10,0,-10140.0,1.0,-245.0,1.0,1.0,1.0,2,0,0
0,7,0x0051,10,0,-10060.0,1.0,-245.0,1.0,1.0,1.0,3,0,0
0,8,0x0044,10,0,100.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,9,0x0040,10,0,-100.0,0.0,15.0,1.0,1.0,1.0,4,0,0
0,10,0x02BA,10,0,-70.0,0.0,40.0,35.0,1.0,1.0,5,1,0
0,11,0x0057,10,0,-67.22620391845703,0.0,-128.34556579589844,10000.0,1.0,1.0,0,0,0
0,12,0x0057,10,0,-74.79898834228516,26.38296127319336,-143.7509765625,90000.0,1.0,1.0,0,0,0
0,13,0x02BB,10,0,-10.0,0.0,-30.0,1.0,1.0,1.0,3,0,0
0,14,0x02BB,10,0,-130.0,0.0,-30.0,1.0,1.0,1.0,-1,0,0
0,15,0x02BB,20,0,-80.0,0.0,0.0,1.0,1.0,1.0,-1,0,0
0,16,0x02BD,20,0,20.0,-2.0,0.0,-9990.0,1.0,60.0,32768,0,2
0,17,0x0041,30,0,170.0,-30.0,-150.0,1.0,1.0,1.0,0,0,0
0,18,0x0041,30,0,200.0,-30.0,-150.0,1.0,1.0,1.0,1,0,0
0,19,0x0041,30,0,230.0,-30.0,-145.0,1.0,1.0,1.0,2,0,0
0,20,0x0041,30,0,260.0,-30.0,-115.0,1.0,1.0,1.0,3,0,0
0,21,0x0040,30,0,-101.0,0.0,-139.0,1.0,1.0,1.0,1,0,0
0,22,0x0040,30,0,-196.0,0.0,-130.0,1.0,1.0,1.0,2,0,0
0,23,0x0040,30,0,-246.0,0.0,-119.0,1.0,1.0,1.0,3,0,0
0,24,0x0040,30,0,-257.0,0.0,-60.0,1.0,1.0,1.0,0,0,0
0,25,0x0040,30,0,-180.0,0.0,-40.0,1.0,1.0,1.0,6,0,0
0,26,0x0040,30,0,-223.0,0.0,-5.0,1.0,1.0,1.0,5,0,0
0,27,0x02BA,30,0,200.0,-30.0,-130.0,100.0,1.0,1.0,5,1,0
0,28,0x02BA,30,0,-90.0,0.0,-120.0,40.0,1.0,1.0,5,1,0
0,29,0x02BB,40,0,80.0,0.0,0.0,1.0,1.0,1.0,2,0,0
0,30,0x02B1,40,0,-35.0,0.0,0.0,1.0,1.0,1.0,0,0,0
0,31,0x0045,42,0,0.0,10.0,140.0,135.0,0.0,50.0,49152,65536,1
0,32,0x0056,42,0,-105.0,-10.0,-10.0,1.0,1.0,1.0,0,0,0
0,33,0x0056,42,0,105.0,-10.0,-10.0,1.0,1.0,1.0,-1,1,0
0,34,0x0043,42,0,230.0,-8.5,-10.0,1.0,1.0,1.0,1,1,0
0,35,0x0043,42,0,-230.0,-8.5,-10.0,1.0,1.0,1.0,1,2,0
0,36,0x0000,42,0,-20.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,37,0x0000,42,0,20.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,38,0x0000,42,0,-30.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,39,0x0000,42,0,30.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,40,0x02BA,42,0,0.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,41,0x02BA,42,0,0.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,42,0x02B1,50,0,-35.0,0.0,30.0,1.0,1.0,1.0,0,0,0
0,43,0x02B1,50,0,-35.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
1,0,0x0008,1,0,0.0,0.0,0.0,51.0,1.0,1.0,101,0,0
1,1,0x0008,1,0,0.0,0.0,0.0,51.0,1.0,1.0,911,0,0
1,2,0x0008,1,0,0.0,0.0,0.0,51.0,1.0,1.0,1011,0,0
1,3,0x0008,1,0,-418.33770751953125,0.0,479.93792724609375,21.0,1.0,1.0,1601,0,0
1,4,0x0008,1,0,-359.60211181640625,0.0,564.8361206054688,21.0,1.0,1.0,401,0,0
1,5,0x0008,1,0,910.3892822265625,0.0,739.9365844726562,21.0,1.0,1.0,601,0,0
1,6,0x0008,1,0,908.7996826171875,0.0,1557.584228515625,21.0,1.0,1.0,602,0,0
1,7,0x0008,1,0,789.4495239257812,0.0,1323.054931640625,141.0,1.0,1.0,901,0,0
1,8,0x0008,1,0,768.7459106445312,0.0,1075.32666015625,21.0,1.0,1.0,1001,0,0
1,9,0x0008,1,0,429.02838134765625,0.0,1157.1142578125,31.0,1.0,1.0,411,0,0
1,10,0x0008,1,0,372.14520263671875,0.0,1155.4940185546875,31.0,1.0,1.0,411,0,0
1,11,0x0008,1,0,487.13018798828125,0.0,1158.769287109375,31.0,1.0,1.0,411,0,0
1,12,0x0008,1,0,-359.59967041015625,0.0,564.8402099609375,21.0,1.0,1.0,402,0,0
1,13,0x0008,1,0,-359.59967041015625,0.0,564.8402099609375,21.0,1.0,1.0,403,0,0
1,14,0x0008,1,0,-359.59967041015625,0.0,564.8402099609375,21.0,1.0,1.0,404,0,0
1,15,0x01A0,1,0,0.0,0.0,62.0,1.0,1.0,1.0,-1,0,0
1,16,0x0002,1,0,0.0,-2.0,-30.0,1.0,1.0,1.0,0,0,0
1,17,0x0019,2,0,-5.269989013671875,-2.0,-8.989990234375,1.0,1.0,1.0,0,14,0
1,18,0x01A0,2,0,0.0,0.0,62.0,1.0,1.0,1.0,11,0,0
