floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
16,0,0x0008,1,0,-888.8715209960938,10.0,-114.18830871582031,30.0,1.0,1.0,52,0,0
16,1,0x0008,1,0,-876.2476806640625,10.0,31.461917877197266,30.0,1.0,1.0,51,0,0
16,2,0x0008,1,0,-1461.9486083984375,9.999999046325684,-113.09205627441406,30.0,1.0,1.0,91,0,0
16,3,0x0008,1,0,-1241.3876953125,9.867167472839355,41.32829284667969,70.0,1.0,1.0,71,0,0
16,4,0x0008,1,0,-1208.4949951171875,9.867167472839355,-56.62329864501953,70.0,1.0,1.0,71,0,0
16,5,0x0008,1,0,-1227.20166015625,-0.05793571472167969,146.09645080566406,70.0,1.0,1.0,71,0,0
16,6,0x0008,1,0,-1754.6156005859375,10.0,-566.1074829101562,30.0,1.0,1.0,111,0,0
16,7,0x0008,1,0,-2093.842529296875,10.000000953674316,-227.66152954101562,30.0,1.0,1.0,131,0,0
16,8,0x0008,1,0,-1850.5523681640625,10.0,-249.91998291015625,30.0,1.0,1.0,141,0,0
16,9,0x0008,1,0,-2078.52978515625,10.000000953674316,-128.42999267578125,30.0,1.0,1.0,92,0,0
16,10,0x0008,1,0,-131.1536865234375,10.0,205.98829650878906,30.0,1.0,1.0,31,0,0
16,11,0x0008,1,0,-117.95242309570312,10.0,161.48281860351562,30.0,1.0,1.0,31,0,0
16,12,0x0008,1,0,-983.001220703125,-5.556249141693115,568.8427124023438,30.0,1.0,1.0,41,0,0
16,13,0x0008,1,0,-873.4466552734375,10.0,-157.58502197265625,30.0,1.0,1.0,61,0,0
16,14,0x0008,1,0,-1418.425048828125,-4.888574123382568,343.6573486328125,30.0,1.0,1.0,72,0,0
16,15,0x0202,1,0,-101.56999969482422,10.0,179.34999084472656,1.0,1.0,1.0,-1,0,0
16,16,0x0000,1,0,-10.0,10.0,20.0,1.0,1.0,1.0,0,0,0
16,17,0x0000,1,0,15.0,10.0,20.0,0.0,1.0,1.0,0,0,0
16,18,0x0000,1,0,25.0,10.0,-5.0,2.0,1.0,1.0,0,0,0
16,19,0x0000,1,0,-5.0,10.0,-5.0,3.0,1.0,1.0,0,0,0
16,20,0x0022,1,0,8.909996032714844,10.0,8.691865921020508,35.0,1.0,1.0,174,0,0
16,21,0x0022,1,0,8.909996032714844,10.0,8.691865921020508,35.0,1.0,1.0,175,0,0
16,22,0x0022,1,0,8.909996032714844,10.0,8.691865921020508,35.0,1.0,1.0,176,0,0
16,23,0x0022,1,0,8.909996032714844,10.0,8.691865921020508,35.0,1.0,1.0,177,0,0
16,24,0x0207,3,0,-625.9400024414062,10.0,-592.1727294921875,1.0,1.0,1.0,111,0,0
16,25,0x0206,3,0,-605.2899780273438,10.0,-590.52001953125,1.0,1.0,1.0,111,0,0
16,26,0x0206,3,0,-611.260009765625,10.0,-587.7679443359375,1.0,1.0,1.0,111,0,0
16,27,0x0206,3,0,-612.5599975585938,9.887499809265137,-593.4925537109375,1.0,1.0,1.0,111,0,0
16,28,0x0207,3,0,-376.45001220703125,-4.953935623168945,127.469970703125,1.0,1.0,1.0,115,0,0
16,29,0x0207,3,0,-365.68426513671875,-5.385186672210693,121.7525634765625,1.0,1.0,1.0,115,0,0
16,30,0x0206,3,0,-381.73785400390625,-4.682492256164551,113.2001953125,1.0,1.0,1.0,115,0,0
16,31,0x0206,3,0,-381.958740234375,-4.682492256164551,138.30859375,1.0,1.0,1.0,115,0,0
16,32,0x0207,3,0,-368.28106689453125,-9.866589546203613,138.83154296875,1.0,1.0,1.0,115,0,0
16,33,0x0208,3,0,-331.57000732421875,10.0,-243.90000915527344,1.0,1.0,1.0,2,0,0
16,34,0x0209,3,0,-657.1825561523438,1.750000238418579,-445.3437194824219,1.0,1.0,1.0,1,0,0
16,35,0x0209,3,0,-630.1591186523438,0.5125002861022949,-438.305419921875,1.0,1.0,1.0,1,0,0
16,36,0x0209,3,0,-648.7098999023438,-5.0,-410.8599853515625,1.0,1.0,1.0,1,0,0
16,37,0x0209,3,0,-362.21905517578125,0.0,-325.17999267578125,1.0,1.0,1.0,1,0,0
16,38,0x0209,3,0,-333.38458251953125,1.9900000095367432,-302.10321044921875,1.0,1.0,1.0,1,0,0
16,39,0x0208,3,0,-326.5616455078125,10.0,-264.80084228515625,1.0,1.0,1.0,2,0,0
16,40,0x0207,3,0,-321.1099853515625,7.4079999923706055,-214.0800018310547,1.0,1.0,1.0,99,2,0
16,41,0x0208,3,0,-347.90631103515625,10.0,-295.9676818847656,1.0,1.0,1.0,2,0,0
16,42,0x0208,3,0,-731.2408447265625,4.748496055603027,-308.72088623046875,1.0,1.0,1.0,2,0,0
16,43,0x0208,3,0,-667.239990234375,4.75,-368.7200012207031,1.0,1.0,1.0,2,0,0
16,44,0x0208,3,0,-308.0943298339844,6.000731945037842,-200.00732421875,1.0,1.0,1.0,2,0,0
16,45,0x0208,3,0,-336.59637451171875,10.0,-323.811279296875,1.0,1.0,1.0,2,0,0
16,46,0x0208,3,0,-297.96038818359375,2.6304128170013428,-169.43585205078125,1.0,1.0,1.0,2,0,0
16,47,0x0207,3,0,-285.4952697753906,1.0,-141.39410400390625,1.0,1.0,1.0,99,2,0
16,48,0x0206,3,0,-278.3999938964844,-0.550000011920929,-125.92001342773438,1.0,1.0,1.0,99,0,0
16,49,0x0206,3,0,-280.6144104003906,-0.7032154202461243,-119.30099487304688,1.0,1.0,1.0,99,0,0
16,50,0x0206,3,0,-274.1618957519531,-0.7032154202461243,-113.2435302734375,1.0,1.0,1.0,99,0,0
16,51,0x0027,3,0,-706.0,29.09000015258789,-327.0,1.0,1.0,1.0,0,65538,0
16,52,0x0027,3,0,-686.0,35.0,-350.0,1.0,1.0,1.0,0,65538,0
16,53,0x0206,3,0,-273.95587158203125,-1.15168297290802,-98.02593994140625,1.0,1.0,1.0,99,0,0
16,54,0x0207,3,0,-706.0,9.091863632202148,-327.0,1.0,1.0,1.0,2,0,0
16,55,0x0207,3,0,-689.0,9.09000015258789,-345.0,1.0,1.0,1.0,2,0,0
16,56,0x0207,3,0,-686.0,15.0,-350.0,1.0,1.0,1.0,2,0,0
16,57,0x0209,3,0,-652.0,5.0,-365.0,1.0,1.0,1.0,0,0,0
16,58,0x0209,3,0,-303.2967834472656,-3.009999990463257,-232.5373992919922,1.0,1.0,1.0,1,0,0
16,59,0x0209,3,0,-280.3839111328125,-9.010000228881836,-156.6580810546875,1.0,1.0,1.0,1,0,0
16,60,0x0209,3,0,-259.5789489746094,-11.010000228881836,-202.70745849609375,1.0,1.0,1.0,1,0,0
16,61,0x0209,3,0,-243.82711791992188,0.38999998569488525,-255.0732421875,1.0,1.0,1.0,1,0,0
16,62,0x0209,3,0,-315.6817626953125,-7.609999656677246,-151.83380126953125,1.0,1.0,1.0,1,0,0
16,63,0x0209,3,0,-343.26202392578125,-7.609999656677246,-264.8709716796875,1.0,1.0,1.0,1,0,0
16,64,0x0207,3,0,-385.95037841796875,-13.978703498840332,136.4747314453125,1.0,1.0,1.0,115,0,0
