floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
9,31,3,1,10,1,trigger_event(311); stop,0,{}
9,311,11,4,10,1,trigger_event(312); stop,3,"{""0x00DA"": 3}"
9,312,11,5,10,1,trigger_event(1114); stop,10,"{""0x00D5"": 5, ""0x00D9"": 5}"
9,313,3,4,10,1,trigger_event(314); stop,0,{}
9,314,7,6,10,1,set_switch(9); stop,1,"{""0x00D8"": 1}"
9,32,3,6,10,1,trigger_event(321); stop,0,{}
9,321,6,1,10,1,set_switch(1); nop; nop; stop,0,{}
9,322,3,8,10,1,trigger_event(323); stop,0,{}
9,323,3,9,10,1,trigger_event(324); stop,0,{}
9,324,3,10,10,1,trigger_event(325); stop,0,{}
9,325,3,11,10,1,stop,0,{}
9,33,3,12,10,1,stop,0,{}
9,71,7,1,10,1,trigger_event(72); nop; nop; nop; nop; stop,6,"{""0x00D9"": 6}"
9,72,7,2,10,1,trigger_event(72011); trigger_event(72021); trigger_event(72031); stop,7,"{""0x00D7"": 3, ""0x00D9"": 4}"
9,72011,7,3,10,1,trigger_event(72012); stop,11,"{""0x00D9"": 9, ""0x00D7"": 2}"
9,72012,7,4,10,1,trigger_event(72013); stop,13,"{""0x00D9"": 13}"
9,72013,7,5,10,1,trigger_event(314); stop,2,"{""0x00DA"": 2}"
9,72014,7,6,10,1,stop,1,"{""0x00D8"": 1}"
9,72021,7,7,10,1,trigger_event(72022); stop,0,{}
9,72022,7,8,10,1,trigger_event(72023); stop,0,{}
9,72023,7,9,10,1,trigger_event(72024); stop,0,{}
9,72024,7,10,10,1,stop,0,{}
9,72031,7,11,10,1,trigger_event(72032); stop,0,{}
9,72032,7,12,10,1,trigger_event(72033); stop,0,{}
9,72033,7,13,10,1,trigger_event(72034); stop,0,{}
9,72034,7,14,10,1,stop,0,{}
9,91,9,1,10,1,trigger_event(911); stop,6,"{""0x00DA"": 1, ""0x00D9"": 5}"
9,911,9,2,10,1,trigger_event(912); stop,6,"{""0x00DA"": 1, ""0x00D7"": 2, ""0x00D5"": 3}"
9,912,9,3,10,1,trigger_event(913); stop,9,"{""0x00D9"": 4, ""0x00D5"": 5}"
9,913,9,4,100,1,trigger_event(914); stop,9,"{""0x00D7"": 3, ""0x00D9"": 6}"
9,914,9,5,10,1,trigger_event(915); stop,5,"{""0x00DA"": 1, ""0x00D5"": 4}"
9,915,9,6,100,1,set_switch(4); set_switch(5); stop,0,{}
9,92,9,7,150,1,trigger_event(921); stop,0,{}
9,921,9,8,100,1,trigger_event(922); stop,0,{}
9,922,9,9,10,1,trigger_event(923); stop,0,{}
9,923,9,10,10,1,trigger_event(924); stop,0,{}
9,924,10,1,150,1,stop,3,"{""0x00D5"": 2, ""0x00D7"": 1}"
9,111,11,1,10,1,trigger_event(1111); stop,5,"{""0x00DA"": 1, ""0x00D9"": 4}"
9,1111,11,2,60,1,trigger_event(1112); stop,8,"{""0x00D7"": 2, ""0x00D5"": 6}"
9,1112,11,3,60,1,trigger_event(1113); stop,8,"{""0x00D9"": 8}"
9,1113,11,4,60,1,trigger_event(311); stop,3,"{""0x00DA"": 3}"
9,1114,11,6,60,1,set_switch(6); set_switch(8); stop,6,"{""0x00DD"": 4, ""0x00DA"": 1, ""0x00D6"": 1}"
7,31,3,1,150,1,trigger_event(311); stop,8,"{""0x00D5"": 8}"
7,311,3,2,10,1,trigger_event(312); stop,10,"{""0x00D9"": 10}"
7,312,3,3,100,1,trigger_event(313); stop,10,"{""0x00D9"": 6, ""0x00D7"": 4}"
7,313,3,4,10,1,set_switch(4); set_switch(5); stop,2,"{""0x00D6"": 2}"
7,51,5,1,10,1,"construct_objects(room=5,group_or_wave=1); trigger_event(51041); nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; nop; stop",6,"{""0x00D7"": 1, ""0x00D5"": 2, ""0x00D9"": 3}"
7,51011,5,81,150,1,stop,0,{}
7,51021,5,82,300,1,stop,0,{}
7,51031,5,7,450,1,set_switch(6); nop; nop; nop; nop; nop; nop; stop,2,"{""0x00D6"": 2}"
7,51041,5,2,10,1,trigger_event(51042); stop,10,"{""0x00D5"": 10}"
7,51042,5,3,10,1,trigger_event(51043); stop,7,"{""0x00D7"": 7}"
7,51043,5,4,10,1,trigger_event(51044); stop,1,"{""0x00D6"": 1}"
7,51044,5,5,10,1,trigger_event(51051); stop,1,"{""0x00D6"": 1}"
7,51045,5,9,10,1,stop,0,{}
7,51051,5,6,10,1,trigger_event(51031); stop,1,"{""0x00D6"": 1}"
7,51052,5,11,10,1,trigger_event(51053); stop,0,{}
7,51053,5,12,10,1,trigger_event(51054); stop,0,{}
7,51054,5,13,10,1,trigger_event(51055); stop,0,{}
7,51055,5,14,10,1,stop,0,{}
7,51061,5,15,10,1,trigger_event(51062); stop,0,{}
7,51062,5,16,10,1,trigger_event(51063); stop,0,{}
7,51063,5,17,10,1,trigger_event(51064); stop,0,{}
7,51064,5,18,10,1,trigger_event(51065); stop,0,{}
7,51065,5,19,10,1,stop,0,{}
7,71,2,1,10,1,trigger_event(711); stop,9,"{""0x00D8"": 1, ""0x00D5"": 5, ""0x00D9"": 3}"
7,711,2,2,10,1,trigger_event(813); stop,8,"{""0x00D7"": 5, ""0x00D5"": 3}"
7,712,2,3,10,1,trigger_event(713); stop,3,"{""0x00D6"": 1, ""0x00D7"": 2}"
7,713,2,4,10,1,trigger_event(714); stop,0,{}
7,714,2,5,10,1,trigger_event(715); stop,0,{}
7,715,2,6,1000,1,stop,0,{}
7,81,8,1,10,1,trigger_event(811); stop,0,{}
7,811,8,2,10,1,trigger_event(812); stop,0,{}
7,812,8,3,100,1,trigger_event(813); stop,0,{}
7,813,2,3,100,1,set_switch(1); stop,3,"{""0x00D6"": 1, ""0x00D7"": 2}"
7,814,8,5,10,1,stop,0,{}
5,211,4,3,60,1,trigger_event(412); stop,3,"{""0x00D4"": 3}"
5,21,2,1,30,1,set_switch(2); stop,4,"{""0x00D4"": 4}"
5,31,3,1,30,1,trigger_event(311); stop,0,{}
5,311,3,2,30,1,set_switch(3); stop,0,{}
5,41,4,1,60,1,trigger_event(411); stop,1,"{""0x00D4"": 1}"
5,411,4,2,30,1,trigger_event(211); stop,2,"{""0x00D4"": 2}"
5,412,4,4,30,1,set_switch(4); stop,4,"{""0x00D4"": 4}"
5,51,5,1,60,1,trigger_event(511); stop,1,"{""0x00D4"": 1}"
5,511,5,2,30,1,trigger_event(512); stop,2,"{""0x00D4"": 2}"
5,512,5,3,30,1,trigger_event(513); stop,3,"{""0x00D4"": 3}"
5,513,5,4,60,1,set_switch(5); nop; nop; stop,4,"{""0x00D4"": 4}"
5,514,6,1,90,1,"construct_objects(room=7,group_or_wave=1); stop",5,"{""0x00D4"": 4, ""0x00D8"": 1}"
5,209,3,1,10,1,set_switch(12); nop; nop; stop,0,{}
5,210,3,1,10,1,set_switch(12); stop,0,{}
5,211,3,1,10,1,set_switch(12); nop; nop; stop,0,{}
5,212,3,1,10,1,set_switch(12); nop; nop; stop,0,{}
5,213,3,1,10,1,set_switch(13); stop,0,{}
5,214,3,1,10,1,set_switch(13); nop; nop; stop,0,{}
5,215,3,1,10,1,set_switch(13); nop; nop; stop,0,{}
5,216,3,1,10,1,set_switch(13); nop; nop; stop,0,{}
5,1312,13,3,60,1,"construct_objects(room=14,group_or_wave=1); stop",0,{}
5,121,12,1,30,1,set_switch(175); stop,0,{}
5,122,12,2,30,1,set_switch(165); stop,0,{}
5,123,12,3,30,1,set_switch(170); stop,0,{}
5,124,12,4,30,1,set_switch(180); stop,0,{}
5,125,12,5,180,1,set_switch(185); stop,0,{}
5,111,11,1,30,1,trigger_event(1111); stop,0,{}
5,1111,11,2,30,1,trigger_event(1112); stop,0,{}
5,1112,11,3,60,1,trigger_event(1113); stop,0,{}
5,1113,11,4,30,1,trigger_event(1114); stop,0,{}
5,1114,11,5,60,1,trigger_event(1115); stop,0,{}
5,1115,11,6,30,1,trigger_event(1116); stop,0,{}
5,1116,11,7,90,1,trigger_event(1117); stop,0,{}
5,1117,11,8,30,1,trigger_event(1118); stop,0,{}
5,1118,11,9,60,1,trigger_event(1119); stop,0,{}
5,1119,11,10,60,1,trigger_event(11111); stop,0,{}
5,11111,11,11,30,1,trigger_event(11112); stop,0,{}
5,11112,11,12,30,1,trigger_event(11113); stop,0,{}
5,11113,11,13,30,1,trigger_event(11114); stop,0,{}
5,11114,11,14,60,1,trigger_event(11115); stop,0,{}
5,11115,11,15,90,1,trigger_event(11116); stop,0,{}
5,11116,11,16,60,1,trigger_event(11117); stop,0,{}
5,11117,11,17,30,1,set_switch(100); stop,0,{}
5,112,11,18,60,1,trigger_event(1121); stop,0,{}
5,1121,11,19,150,1,trigger_event(1122); stop,0,{}
5,1122,11,20,150,1,trigger_event(1123); stop,0,{}
5,1123,11,21,150,1,trigger_event(1124); stop,0,{}
5,1124,11,22,60,1,set_switch(101); stop,0,{}
5,113,11,23,60,1,trigger_event(1131); stop,0,{}
5,1131,11,24,90,1,trigger_event(1132); stop,0,{}
5,1132,11,25,120,1,"construct_objects(room=11,group_or_wave=2); stop",0,{}
17,11,1,1,180,1,set_switch(1); stop,6,"{""0x00DC"": 1, ""0x0061"": 3, ""0x00E1"": 2}"
17,21,2,1,10,1,set_switch(2); stop,0,{}
17,31,3,1,10,1,trigger_event(311); stop,0,{}
17,311,3,2,120,1,set_switch(5); stop,0,{}
17,41,30,1,10,1,trigger_event(204); stop,2,"{""0x00E0"": 2}"
17,411,4,2,240,1,set_switch(6); stop,0,{}
17,51,5,1,10,1,set_switch(8); stop,0,{}
17,101,10,1,10,1,set_switch(4); stop,3,"{""0x00DC"": 3}"
17,201,20,1,10,1,set_switch(3); stop,7,"{""0x0061"": 4, ""0x00E1"": 3}"
17,2011,1,2,10,1,stop,8,"{""0x00D6"": 3, ""0x00D8"": 1, ""0x00DA"": 1, ""0x0061"": 1, ""0x00DC"": 1, ""0x00E1"": 1}"
17,202,20,2,10,1,trigger_event(2021); stop,0,{}
17,2021,20,6,10,1,stop,0,{}
17,203,20,3,10,1,stop,0,{}
17,204,30,2,10,1,"construct_objects(room=30,group_or_wave=1); stop",1,"{""0x00E0"": 1}"
17,2041,20,7,10,1,set_switch(3); stop,0,{}
17,211,21,1,10,1,trigger_event(2111); stop,0,{}
17,2111,21,2,90,1,set_switch(7); stop,0,{}
17,221,22,1,10,1,trigger_event(2211); stop,0,{}
17,2211,22,2,10,1,trigger_event(2212); stop,0,{}
17,2212,22,3,10,1,trigger_event(2213); stop,0,{}
17,2213,22,4,240,1,set_switch(9); stop,0,{}
17,301,30,2,10,1,set_switch(10); stop,1,"{""0x00E0"": 1}"
10,301,90,1,10,1,trigger_event(401); stop,2,"{""0x00E0"": 2}"
10,401,90,2,10,1,trigger_event(601); stop,4,"{""0x00E0"": 4}"
10,601,90,3,10,1,set_switch(2); stop,3,"{""0x00E0"": 3}"
10,611,90,4,10,1,set_switch(2); stop,4,"{""0x00DF"": 4}"
10,631,80,1,154,1,trigger_event(701); stop,9,"{""0x00DD"": 8, ""0x00DB"": 1}"
10,701,80,2,10,1,trigger_event(7011); stop,6,"{""0x00DC"": 1, ""0x00DB"": 2, ""0x00DD"": 3}"
10,7011,80,3,10,1,set_switch(3); stop,2,"{""0x00DC"": 2}"
10,7012,21,1,100,1,set_switch(4); stop,4,"{""0x00E0"": 4}"
10,711,61,1,10,1,set_switch(5); stop,8,"{""0x00DF"": 8}"
10,7111,70,1,10,1,trigger_event(7112); stop,7,"{""0x00E0"": 2, ""0x00DD"": 5}"
10,7112,70,2,10,1,trigger_event(801); stop,5,"{""0x00DD"": 3, ""0x00DB"": 2}"
10,801,70,3,10,1,trigger_event(811); stop,3,"{""0x00DC"": 1, ""0x00E0"": 2}"
10,811,70,4,10,1,trigger_event(901); stop,3,"{""0x00DB"": 3}"
10,901,70,5,10,1,trigger_event(2101); stop,4,"{""0x00E0"": 4}"
10,2101,70,6,10,1,set_switch(1); stop,8,"{""0x00E0"": 3, ""0x00DD"": 4, ""0x00DC"": 1}"
10,2102,70,7,154,1,set_switch(1); stop,1,"{""0x00DF"": 1}"
10,2202,220,1,10,1,,0,{}
10,2522,252,1,10,1,,0,{}
2,11,40,1,10,1,trigger_event(61); stop,3,"{""0x00A6"": 3}"
2,61,40,2,10,1,trigger_event(201); stop,6,"{""0x00A6"": 6}"
2,201,40,3,10,1,trigger_event(20111); stop,9,"{""0x00A6"": 9}"
2,20111,40,4,10,1,trigger_event(20112); stop,12,"{""0x00A6"": 12}"
2,20112,40,5,10,1,trigger_event(9533); stop,15,"{""0x00A6"": 15}"
2,20113,40,50,10,1,"construct_objects(room=40,group_or_wave=1); stop",3,"{""0x0040"": 3}"
2,301,40,7,10,1,trigger_event(311); stop,6,"{""0x00A6"": 3, ""0x0060"": 3}"
2,311,40,8,10,1,trigger_event(401); stop,6,"{""0x0060"": 2, ""0x0061"": 4}"
2,401,40,9,10,1,trigger_event(4011); stop,6,"{""0x0061"": 3, ""0x00A6"": 3}"
2,4011,40,10,10,1,trigger_event(501); stop,6,"{""0x00A6"": 3, ""0x0061"": 3}"
2,501,40,11,10,1,trigger_event(511); stop,6,"{""0x00A6"": 2, ""0x0061"": 4}"
2,511,40,12,10,1,trigger_event(521); stop,12,"{""0x0061"": 12}"
2,521,40,13,10,1,trigger_event(531); stop,7,"{""0x0041"": 6, ""0x0061"": 1}"
2,531,40,14,10,1,trigger_event(701); stop,7,"{""0x0061"": 6, ""0x0040"": 1}"
2,701,40,15,10,1,trigger_event(7011); stop,7,"{""0x0040"": 6, ""0x0060"": 1}"
2,7011,40,16,10,1,trigger_event(711); stop,8,"{""0x0061"": 4, ""0x0040"": 4}"
2,711,40,17,10,1,trigger_event(7111); stop,5,"{""0x0041"": 5}"
2,7111,40,18,10,1,trigger_event(7112); stop,10,"{""0x0041"": 10}"
2,7112,40,19,10,1,trigger_event(2921); stop,7,"{""0x0041"": 7}"
2,712,80,4,10,1,"construct_objects(room=80,group_or_wave=2); stop",0,{}
2,801,40,21,10,1,trigger_event(8011); stop,4,"{""0x0040"": 2, ""0x0042"": 2}"
2,8011,40,22,10,1,trigger_event(811); stop,7,"{""0x0042"": 1, ""0x0040"": 2, ""0x0041"": 2, ""0x00A6"": 2}"
2,811,40,23,10,1,trigger_event(8111); stop,5,"{""0x0061"": 1, ""0x0041"": 2, ""0x00A6"": 1, ""0x0040"": 1}"
2,8111,40,24,10,1,trigger_event(8112); stop,6,"{""0x0040"": 2, ""0x0060"": 1, ""0x00A6"": 3}"
2,8112,40,25,10,1,trigger_event(901); stop,7,"{""0x00A6"": 1, ""0x0061"": 2, ""0x0040"": 2, ""0x0060"": 2}"
2,901,40,26,10,1,trigger_event(902); stop,6,"{""0x0040"": 6}"
2,902,40,27,10,1,trigger_event(951); stop,6,"{""0x0061"": 6}"
2,951,40,28,10,1,trigger_event(9511); stop,9,"{""0x0042"": 9}"
2,9511,40,29,10,1,trigger_event(9512); stop,8,"{""0x0061"": 4, ""0x00A6"": 2, ""0x0041"": 2}"
2,9512,40,30,10,1,trigger_event(9514); stop,8,"{""0x00A6"": 8}"
2,9513,40,30,10,1,trigger_event(9727); stop,8,"{""0x00A6"": 8}"
2,9514,40,31,10,1,trigger_event(9515); stop,8,"{""0x00A6"": 8}"
2,9515,40,32,10,1,trigger_event(9516); stop,12,"{""0x0061"": 4, ""0x00A6"": 8}"
2,9516,40,33,10,1,trigger_event(9517); stop,5,"{""0x00A5"": 5}"
2,9517,40,34,10,1,trigger_event(9518); stop,6,"{""0x00A5"": 4, ""0x0060"": 2}"
2,9518,40,35,10,1,trigger_event(9519); stop,8,"{""0x0061"": 1, ""0x00A6"": 5, ""0x00A5"": 2}"
2,9519,40,36,10,1,trigger_event(952); stop,6,"{""0x00A5"": 6}"
2,952,40,37,10,1,trigger_event(9521); stop,6,"{""0x00A5"": 6}"
2,9521,40,38,10,1,trigger_event(9522); stop,7,"{""0x00A5"": 1, ""0x0061"": 2, ""0x0040"": 4}"
