floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
1,0,0x00A6,41,1,1,0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,0x00A6,41,1,1,0,50.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,0x00A6,41,1,1,0,-50.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0,0
1,3,0x0061,41,2,2,0,-45.0,0.0,-165.0,0.0,0.0,0.0,0.0,0.0,0,0
1,4,0x0061,41,2,2,0,45.0,0.0,-165.0,0.0,0.0,0.0,0.0,0.0,0,0
1,5,0x0061,41,2,2,0,-45.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
1,6,0x0061,41,2,2,0,45.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
1,7,0x0040,41,3,3,0,0.0,0.0,-220.0,1.0,0.0,0.0,0.0,0.0,0,0
1,8,0x0060,41,4,4,0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
1,9,0x0060,41,4,4,0,-60.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0,0
1,10,0x0060,41,4,4,0,60.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0,0
1,11,0x0060,41,4,4,0,-40.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
1,12,0x0060,41,4,4,0,40.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
1,13,0x00A5,41,5,5,0,45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,14,0x00A5,41,5,5,0,-15.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,15,0x00A5,41,5,5,0,-75.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,16,0x00A5,41,5,5,0,-45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,17,0x00A5,41,5,5,0,15.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,18,0x00A5,41,5,5,0,75.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
1,19,0x0040,41,6,6,0,0.10736139118671417,0.0,-155.0,1.0,0.0,0.0,0.0,0.0,0,0
1,20,0x0040,41,6,6,0,65.0,0.0,-120.0,1.0,0.0,0.0,0.0,0.0,0,0
1,21,0x0040,41,6,6,0,-65.0,0.0,-120.0,1.0,0.0,0.0,0.0,0.0,0,0
1,22,0x0040,41,6,6,0,0.0,0.0,-85.0,1.0,0.0,0.0,0.0,0.0,0,0
1,23,0x0061,41,7,7,0,-20.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
1,24,0x0061,41,7,7,0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
1,25,0x0061,41,7,7,0,20.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
1,26,0x0061,41,7,7,0,-40.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
1,27,0x0061,41,7,7,0,40.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
1,28,0x00A6,41,8,8,0,0.2107175886631012,0.0,74.29671478271484,0.0,0.0,0.0,0.0,0.0,2,0
1,29,0x00A6,41,8,8,0,-31.65236473083496,0.0,74.29671478271484,0.0,0.0,0.0,0.0,0.0,2,0
1,30,0x00A6,41,8,8,0,30.625476837158203,0.0,71.40007781982422,0.0,0.0,0.0,0.0,0.0,2,0
1,31,0x00A6,41,8,8,0,-17.169145584106445,0.0,107.60812377929688,0.0,0.0,0.0,0.0,0.0,2,0
1,32,0x00A6,41,8,8,0,14.693936347961426,0.0,104.71147918701172,0.0,0.0,0.0,0.0,0.0,2,0
1,33,0x00A6,41,10,10,0,-2.6859261989593506,0.0,139.47120666503906,0.0,0.0,0.0,0.0,0.0,1,0
1,34,0x0061,41,9,9,0,-58.791954040527344,0.0,44.398738861083984,0.0,0.0,0.0,0.0,0.0,0,0
1,35,0x0061,41,9,9,0,-61.688594818115234,0.0,99.43497467041016,0.0,0.0,0.0,0.0,0.0,0,0
1,36,0x0061,41,9,9,0,-61.688594818115234,0.0,144.33294677734375,0.0,0.0,0.0,0.0,0.0,0,0
1,37,0x0061,41,9,9,0,51.28050994873047,0.0,41.50209426879883,0.0,0.0,0.0,0.0,0.0,0,0
1,38,0x0061,41,9,9,0,54.177154541015625,0.0,105.22825622558594,0.0,0.0,0.0,0.0,0.0,0,0
1,39,0x0061,41,9,9,0,51.28050994873047,0.0,144.33294677734375,0.0,0.0,0.0,0.0,0.0,0,0
1,40,0x0061,41,11,11,0,1.5543482303619385,0.0,-40.53280258178711,0.0,0.0,0.0,0.0,0.0,0,0
1,41,0x0061,41,11,11,0,37.762393951416016,0.0,-40.53280258178711,0.0,0.0,0.0,0.0,0.0,0,0
1,42,0x0061,41,11,11,0,-30.308732986450195,0.0,-40.53280258178711,0.0,0.0,0.0,0.0,0.0,0,0
1,43,0x0061,41,11,11,0,-54.930206298828125,0.0,-10.1180419921875,0.0,0.0,0.0,0.0,0.0,0,0
1,44,0x0061,41,11,11,0,56.590579986572266,0.0,-11.566363334655762,0.0,0.0,0.0,0.0,0.0,0,0
1,45,0x0061,41,11,11,0,-63.62013626098633,0.0,-33.29119110107422,0.0,0.0,0.0,0.0,0.0,0,0
1,46,0x0061,41,11,11,0,68.17715454101562,0.0,-39.08448028564453,0.0,0.0,0.0,0.0,0.0,0,0
1,47,0x00A5,41,12,12,0,50.3140754699707,0.0,176.33294677734375,0.0,0.0,0.0,0.0,0.0,0,0
1,48,0x00A5,41,12,12,0,-1.825514554977417,0.0,174.88462829589844,0.0,0.0,0.0,0.0,0.0,0,0
1,49,0x00A5,41,12,12,0,-51.068458557128906,0.0,174.88462829589844,0.0,0.0,0.0,0.0,0.0,0,0
1,50,0x00A5,41,12,12,0,-29.343629837036133,0.0,147.36651611328125,0.0,0.0,0.0,0.0,0.0,0,0
1,51,0x00A5,41,12,12,0,25.692602157592773,0.0,141.57322692871094,0.0,0.0,0.0,0.0,0.0,0,0
1,52,0x00A5,41,12,12,0,-56.86174774169922,0.0,127.09000396728516,0.0,0.0,0.0,0.0,0.0,0,0
1,53,0x00A5,41,12,12,0,50.3140754699707,0.0,116.95175170898438,0.0,0.0,0.0,0.0,0.0,0,0
1,54,0x0040,41,13,13,0,-0.6174671053886414,0.0,8.777266502380371,1.0,0.0,0.0,0.0,0.0,0,0
1,55,0x00A5,41,13,13,0,-46.963768005371094,0.0,44.985313415527344,0.0,0.0,0.0,0.0,0.0,0,0
1,56,0x00A5,41,13,13,0,45.72883224487305,0.0,44.985313415527344,0.0,0.0,0.0,0.0,0.0,0,0
1,57,0x0061,41,13,13,0,-52.757057189941406,0.0,175.33428955078125,0.0,0.0,0.0,0.0,0.0,0,0
1,58,0x0061,41,13,13,0,51.52212142944336,0.0,175.33428955078125,0.0,0.0,0.0,0.0,0.0,0,0
1,59,0x00A6,41,14,14,0,3.206712484359741,0.0,-91.15293884277344,0.0,0.0,0.0,0.0,0.0,1,0
1,60,0x00A6,41,14,14,0,43.75972366333008,0.0,-91.15293884277344,0.0,0.0,0.0,0.0,0.0,1,0
1,61,0x00A6,41,14,14,0,-43.13958740234375,0.0,-92.60125732421875,0.0,0.0,0.0,0.0,0.0,1,0
