floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,201,20,1,0,1,trigger_event(202); stop,3,"{""0x0115"": 3}"
1,202,20,2,0,1,trigger_event(203); stop,3,"{""0x0115"": 3}"
1,203,20,3,0,1,trigger_event(204); stop,3,"{""0x0111"": 3}"
1,204,20,4,0,1,trigger_event(205); stop,3,"{""0x0115"": 3}"
1,205,20,5,0,1,trigger_event(206); stop,3,"{""0x0115"": 1, ""0x0041"": 2}"
1,206,20,6,0,1,trigger_event(207); stop,4,"{""0x0115"": 2, ""0x0111"": 2}"
1,207,20,7,0,1,trigger_event(208); stop,4,"{""0x0041"": 4}"
1,208,20,8,0,1,trigger_event(209); stop,4,"{""0x0111"": 4}"
1,209,20,9,0,1,trigger_event(210); stop,4,"{""0x0111"": 3, ""0x0115"": 1}"
1,210,20,10,0,1,trigger_event(211); stop,4,"{""0x0115"": 3, ""0x0110"": 1}"
1,211,20,11,0,1,trigger_event(212); stop,5,"{""0x0111"": 3, ""0x0115"": 2}"
1,212,20,12,0,1,trigger_event(213); stop,5,"{""0x0115"": 3, ""0x0111"": 2}"
1,213,20,13,0,1,trigger_event(214); stop,5,"{""0x0115"": 5}"
1,214,20,14,0,1,trigger_event(215); stop,5,"{""0x0111"": 5}"
1,215,20,15,0,1,trigger_event(216); stop,5,"{""0x0115"": 5}"
1,216,20,16,0,1,trigger_event(217); stop,5,"{""0x0110"": 1, ""0x0041"": 4}"
1,217,20,17,0,1,trigger_event(218); stop,5,"{""0x0110"": 2, ""0x0041"": 2, ""0x0115"": 1}"
1,218,20,18,0,1,trigger_event(219); stop,5,"{""0x0115"": 5}"
1,219,20,19,0,1,trigger_event(220); stop,5,"{""0x0115"": 5}"
1,220,20,20,0,1,trigger_event(221); stop,5,"{""0x0114"": 1, ""0x0041"": 4}"
1,221,20,21,0,1,trigger_event(222); stop,6,"{""0x0041"": 3, ""0x0115"": 2, ""0x0114"": 1}"
1,222,20,22,0,1,trigger_event(223); stop,6,"{""0x0115"": 2, ""0x0110"": 2, ""0x0111"": 2}"
1,223,20,23,0,1,trigger_event(224); stop,6,"{""0x0115"": 6}"
1,224,20,24,0,1,trigger_event(225); stop,6,"{""0x0114"": 2, ""0x0111"": 2, ""0x0041"": 2}"
1,225,20,25,0,1,trigger_event(226); stop,6,"{""0x0041"": 3, ""0x0111"": 3}"
1,226,20,26,0,1,trigger_event(227); stop,7,"{""0x0041"": 2, ""0x0111"": 2, ""0x0115"": 3}"
1,227,20,27,0,1,trigger_event(228); stop,7,"{""0x0041"": 4, ""0x0111"": 3}"
1,228,20,28,0,1,trigger_event(229); stop,7,"{""0x0114"": 2, ""0x0110"": 2, ""0x0111"": 3}"
1,229,20,29,0,1,trigger_event(230); stop,7,"{""0x0115"": 2, ""0x0041"": 2, ""0x0111"": 3}"
1,230,20,30,0,1,set_switch(20); stop,7,"{""0x0111"": 1, ""0x0041"": 2, ""0x0115"": 4}"
5,601,60,1,0,1,trigger_event(602); stop,5,"{""0x0115"": 5}"
5,602,60,2,0,1,trigger_event(603); stop,5,"{""0x0041"": 2, ""0x0115"": 2, ""0x0111"": 1}"
5,603,60,3,0,1,trigger_event(604); stop,5,"{""0x0115"": 2, ""0x0111"": 3}"
5,604,60,4,0,1,trigger_event(605); stop,5,"{""0x0041"": 2, ""0x0115"": 3}"
5,605,60,5,0,1,trigger_event(606); stop,5,"{""0x0115"": 3, ""0x0041"": 2}"
5,606,60,6,0,1,trigger_event(607); stop,5,"{""0x0115"": 3, ""0x0111"": 2}"
5,607,60,7,0,1,trigger_event(608); stop,5,"{""0x0041"": 4, ""0x0114"": 1}"
5,608,60,8,0,1,trigger_event(609); stop,5,"{""0x0114"": 2, ""0x0115"": 3}"
5,609,60,9,0,1,trigger_event(610); stop,5,"{""0x0110"": 3, ""0x0115"": 2}"
5,610,60,10,0,1,trigger_event(611); stop,5,"{""0x0116"": 1, ""0x0110"": 2, ""0x0115"": 2}"
5,611,60,11,0,1,trigger_event(612); stop,6,"{""0x0115"": 2, ""0x0111"": 4}"
5,612,60,12,0,1,trigger_event(613); stop,6,"{""0x0111"": 2, ""0x0115"": 4}"
5,613,60,13,0,1,trigger_event(614); stop,6,"{""0x0116"": 1, ""0x0115"": 5}"
5,614,60,14,0,1,trigger_event(615); stop,6,"{""0x0114"": 2, ""0x0041"": 4}"
5,615,60,15,0,1,trigger_event(616); stop,6,"{""0x0111"": 5, ""0x0115"": 1}"
5,616,60,16,0,1,trigger_event(617); stop,6,"{""0x0110"": 1, ""0x0116"": 1, ""0x0041"": 4}"
5,617,60,17,0,1,trigger_event(618); stop,6,"{""0x0110"": 2, ""0x0111"": 4}"
5,618,60,18,0,1,trigger_event(619); stop,6,"{""0x0114"": 2, ""0x0115"": 4}"
5,619,60,19,0,1,trigger_event(620); stop,6,"{""0x0041"": 3, ""0x0111"": 3}"
5,620,60,20,0,1,trigger_event(621); stop,6,"{""0x0114"": 1, ""0x0110"": 2, ""0x0115"": 3}"
5,621,60,21,0,1,trigger_event(622); stop,7,"{""0x0116"": 2, ""0x0115"": 2, ""0x0041"": 3}"
5,622,60,22,0,1,trigger_event(623); stop,7,"{""0x0110"": 2, ""0x0115"": 3, ""0x0111"": 2}"
5,623,60,23,0,1,trigger_event(624); stop,7,"{""0x0114"": 1, ""0x0116"": 1, ""0x0111"": 3, ""0x0115"": 2}"
5,624,60,24,0,1,trigger_event(625); stop,7,"{""0x0110"": 3, ""0x0111"": 2, ""0x0041"": 2}"
5,625,60,25,0,1,trigger_event(626); stop,7,"{""0x0116"": 2, ""0x0111"": 2, ""0x0041"": 3}"
5,626,60,26,0,1,trigger_event(627); stop,7,"{""0x0115"": 3, ""0x0111"": 2, ""0x0041"": 2}"
5,627,60,27,0,1,trigger_event(628); stop,7,"{""0x0114"": 2, ""0x0110"": 3, ""0x0111"": 2}"
5,628,60,28,0,1,trigger_event(629); stop,7,"{""0x0116"": 2, ""0x0110"": 2, ""0x0111"": 3}"
5,629,60,29,0,1,trigger_event(630); stop,7,"{""0x0114"": 3, ""0x0116"": 2, ""0x0115"": 2}"
5,630,60,30,0,1,set_switch(60); stop,7,"{""0x0116"": 3, ""0x0041"": 1, ""0x0115"": 3}"
6,301,30,1,0,1,trigger_event(302); stop,3,"{""0x0117"": 3}"
6,302,30,2,0,1,trigger_event(303); stop,3,"{""0x0041"": 3}"
6,303,30,3,0,1,trigger_event(304); stop,3,"{""0x0112"": 3}"
6,304,30,4,0,1,trigger_event(305); stop,3,"{""0x0117"": 3}"
6,305,30,5,0,1,trigger_event(306); stop,3,"{""0x0117"": 3}"
6,306,30,6,0,1,trigger_event(307); stop,4,"{""0x0117"": 3, ""0x0112"": 1}"
6,307,30,7,0,1,trigger_event(308); stop,4,"{""0x0114"": 1, ""0x0041"": 3}"
6,308,30,8,0,1,trigger_event(309); stop,4,"{""0x0117"": 2, ""0x0112"": 2}"
6,309,30,9,0,1,trigger_event(310); stop,4,"{""0x0117"": 4}"
6,310,30,10,0,1,trigger_event(311); stop,4,"{""0x0117"": 4}"
6,311,30,11,0,1,trigger_event(312); stop,5,"{""0x0117"": 2, ""0x0111"": 3}"
6,312,30,12,0,1,trigger_event(313); stop,5,"{""0x0112"": 3, ""0x0111"": 2}"
6,313,30,13,0,1,trigger_event(314); stop,5,"{""0x0112"": 3, ""0x0041"": 2}"
6,314,30,14,0,1,trigger_event(315); stop,5,"{""0x0041"": 4, ""0x0112"": 1}"
6,315,30,15,0,1,trigger_event(316); stop,5,"{""0x0111"": 5}"
6,316,30,16,0,1,trigger_event(317); stop,5,"{""0x0114"": 1, ""0x0117"": 4}"
6,317,30,17,0,1,trigger_event(318); stop,5,"{""0x0112"": 1, ""0x0111"": 4}"
6,318,30,18,0,1,trigger_event(319); stop,5,"{""0x0112"": 2, ""0x0117"": 3}"
6,319,30,19,0,1,trigger_event(320); stop,5,"{""0x0114"": 2, ""0x0041"": 3}"
6,320,30,20,0,1,trigger_event(321); stop,5,"{""0x0117"": 4, ""0x0112"": 1}"
6,321,30,21,0,1,trigger_event(322); stop,6,"{""0x0117"": 2, ""0x0111"": 4}"
6,322,30,22,0,1,trigger_event(323); stop,6,"{""0x0117"": 4, ""0x0041"": 2}"
6,323,30,23,0,1,trigger_event(324); stop,6,"{""0x0117"": 3, ""0x0111"": 3}"
6,324,30,24,0,1,trigger_event(325); stop,6,"{""0x0041"": 2, ""0x0111"": 4}"
6,325,30,25,0,1,trigger_event(326); stop,6,"{""0x0111"": 4, ""0x0117"": 2}"
6,326,30,26,0,1,trigger_event(327); stop,7,"{""0x0117"": 5, ""0x0112"": 2}"
6,327,30,27,0,1,trigger_event(328); stop,7,"{""0x0112"": 3, ""0x0111"": 2, ""0x0041"": 2}"
6,328,30,28,0,1,trigger_event(329); stop,7,"{""0x0117"": 2, ""0x0112"": 5}"
6,329,30,29,0,1,trigger_event(330); stop,7,"{""0x0114"": 2, ""0x0117"": 3, ""0x0041"": 2}"
6,330,30,30,0,1,set_switch(30); stop,7,"{""0x0112"": 3, ""0x0117"": 4}"
7,101,10,1,0,1,trigger_event(102); stop,5,"{""0x0117"": 5}"
7,102,10,2,0,1,trigger_event(103); stop,5,"{""0x0041"": 2, ""0x0112"": 3}"
7,103,10,3,0,1,trigger_event(104); stop,5,"{""0x0112"": 3, ""0x0117"": 2}"
7,104,10,4,0,1,trigger_event(105); stop,5,"{""0x0117"": 5}"
7,105,10,5,0,1,trigger_event(106); stop,5,"{""0x0117"": 1, ""0x0112"": 4}"
7,106,10,6,0,1,trigger_event(107); stop,5,"{""0x0117"": 3, ""0x0114"": 2}"
7,107,10,7,0,1,trigger_event(108); stop,5,"{""0x0114"": 1, ""0x0041"": 4}"
7,108,10,8,0,1,trigger_event(109); stop,5,"{""0x0117"": 2, ""0x0114"": 3}"
7,109,10,9,0,1,trigger_event(110); stop,5,"{""0x0117"": 3, ""0x0112"": 2}"
7,110,10,10,0,1,trigger_event(111); stop,5,"{""0x0117"": 4, ""0x0113"": 1}"
7,111,10,11,0,1,trigger_event(112); stop,6,"{""0x0117"": 4, ""0x0114"": 2}"
7,112,10,12,0,1,trigger_event(113); stop,6,"{""0x0111"": 4, ""0x0112"": 1, ""0x0113"": 1}"
7,113,10,13,0,1,trigger_event(114); stop,6,"{""0x0041"": 2, ""0x0111"": 4}"
7,114,10,14,0,1,trigger_event(115); stop,6,"{""0x0111"": 4, ""0x0114"": 2}"
7,115,10,15,0,1,trigger_event(116); stop,6,"{""0x0117"": 6}"
7,116,10,16,0,1,trigger_event(117); stop,6,"{""0x0117"": 3, ""0x0114"": 2, ""0x0113"": 1}"
7,117,10,17,0,1,trigger_event(118); stop,6,"{""0x0111"": 4, ""0x0112"": 2}"
7,118,10,18,0,1,trigger_event(119); stop,6,"{""0x0117"": 4, ""0x0112"": 2}"
7,119,10,19,0,1,trigger_event(120); stop,6,"{""0x0114"": 2, ""0x0117"": 2, ""0x0041"": 2}"
7,120,10,20,0,1,trigger_event(121); stop,6,"{""0x0117"": 5, ""0x0113"": 1}"
7,121,10,21,0,1,trigger_event(122); stop,7,"{""0x0117"": 1, ""0x0111"": 4, ""0x0113"": 2}"
7,122,10,22,0,1,trigger_event(123); stop,7,"{""0x0041"": 1, ""0x0117"": 2, ""0x0111"": 4}"
7,123,10,23,0,1,trigger_event(124); stop,7,"{""0x0111"": 3, ""0x0117"": 2, ""0x0114"": 2}"
7,124,10,24,0,1,trigger_event(125); stop,7,"{""0x0111"": 4, ""0x0114"": 2, ""0x0113"": 1}"
7,125,10,25,0,1,trigger_event(126); stop,7,"{""0x0117"": 4, ""0x0114"": 3}"
7,126,10,26,0,1,trigger_event(127); stop,7,"{""0x0114"": 2, ""0x0112"": 2, ""0x0117"": 3}"
7,127,10,27,0,1,trigger_event(128); stop,7,"{""0x0041"": 3, ""0x0113"": 2, ""0x0112"": 2}"
7,128,10,28,0,1,trigger_event(129); stop,7,"{""0x0114"": 2, ""0x0117"": 5}"
7,129,10,29,0,1,trigger_event(130); stop,7,"{""0x0117"": 3, ""0x0041"": 1, ""0x0114"": 3}"
7,130,10,30,0,1,set_switch(10); stop,7,"{""0x0117"": 2, ""0x0114"": 2, ""0x0113"": 3}"
8,801,80,1,0,1,trigger_event(802); stop,3,"{""0x0112"": 3}"
8,802,80,2,0,1,trigger_event(803); stop,3,"{""0x0117"": 3}"
8,803,80,3,0,1,trigger_event(804); stop,3,"{""0x0041"": 3}"
8,804,80,4,0,1,trigger_event(805); stop,3,"{""0x0117"": 3}"
8,805,80,5,0,1,trigger_event(806); stop,3,"{""0x0117"": 3}"
8,806,80,6,0,1,trigger_event(807); stop,4,"{""0x0114"": 1, ""0x0117"": 3}"
8,807,80,7,0,1,trigger_event(808); stop,4,"{""0x0117"": 3, ""0x0112"": 1}"
8,808,80,8,0,1,trigger_event(809); stop,4,"{""0x0111"": 4}"
8,809,80,9,0,1,trigger_event(810); stop,4,"{""0x0111"": 4}"
8,810,80,10,0,1,trigger_event(811); stop,4,"{""0x0114"": 1, ""0x0041"": 3}"
8,811,80,11,0,1,trigger_event(812); stop,5,"{""0x0111"": 5}"
8,812,80,12,0,1,trigger_event(813); stop,5,"{""0x0114"": 2, ""0x0111"": 3}"
8,813,80,13,0,1,trigger_event(814); stop,5,"{""0x0114"": 2, ""0x0041"": 2, ""0x0117"": 1}"
8,814,80,14,0,1,trigger_event(815); stop,5,"{""0x0041"": 4, ""0x0117"": 1}"
8,815,80,15,0,1,trigger_event(816); stop,5,"{""0x0117"": 5}"
8,816,80,16,0,1,trigger_event(817); stop,5,"{""0x0117"": 5}"
8,817,80,17,0,1,trigger_event(818); stop,5,"{""0x0112"": 5}"
8,818,80,18,0,1,trigger_event(819); stop,5,"{""0x0114"": 1, ""0x0117"": 4}"
8,819,80,19,0,1,trigger_event(820); stop,5,"{""0x0041"": 5}"
8,820,80,20,0,1,trigger_event(821); stop,5,"{""0x0117"": 5}"
8,821,80,21,0,1,trigger_event(822); stop,6,"{""0x0111"": 6}"
8,822,80,22,0,1,trigger_event(823); stop,6,"{""0x0112"": 6}"
8,823,80,23,0,1,trigger_event(824); stop,6,"{""0x0112"": 3, ""0x0111"": 3}"
8,824,80,24,0,1,trigger_event(825); stop,6,"{""0x0114"": 4, ""0x0041"": 2}"
8,825,80,25,0,1,trigger_event(826); stop,6,"{""0x0117"": 2, ""0x0112"": 4}"
8,826,80,26,0,1,trigger_event(827); stop,9,"{""0x0117"": 9}"
8,827,80,27,0,1,trigger_event(828); stop,9,"{""0x0041"": 3, ""0x0112"": 3, ""0x0111"": 3}"
8,828,80,28,0,1,trigger_event(829); stop,9,"{""0x0114"": 3, ""0x0117"": 3, ""0x0112"": 3}"
8,829,80,29,0,1,trigger_event(830); stop,9,"{""0x0114"": 2, ""0x0112"": 1, ""0x0111"": 2, ""0x0117"": 1, ""0x0041"": 3}"
8,830,80,30,0,1,set_switch(80); stop,9,"{""0x0114"": 2, ""0x0112"": 2, ""0x0041"": 2, ""0x0117"": 3}"
